Subgroup,Ratio,Threshold,Kept Pairs,Dropped Pairs,Recall (%),Precision (%),F1 (%),Total Tokens,Cost ($)
stackoverflow,0.025,0.0,12,0,62.18,78.08,69.23,70424,0.2136
stackoverflow,0.025,0.01,6,6,48.0,75.86,58.8,41603,0.1272
stackoverflow,0.025,0.02,6,6,48.0,75.86,58.8,41603,0.1272
stackoverflow,0.025,0.03,6,6,48.0,75.86,58.8,41603,0.1272
stackoverflow,0.025,0.04,6,6,48.0,75.86,58.8,41603,0.1272
stackoverflow,0.025,0.05,4,8,27.64,73.08,40.11,29928,0.091
stackoverflow,0.025,0.06,4,8,27.64,73.08,40.11,29928,0.091
stackoverflow,0.025,0.07,4,8,27.64,73.08,40.11,29928,0.091
stackoverflow,0.025,0.08,4,8,27.64,73.08,40.11,29928,0.091
stackoverflow,0.025,0.09,3,9,18.55,68.92,29.23,23701,0.0718
stackoverflow,0.025,0.1,3,9,18.55,68.92,29.23,23701,0.0718
stackoverflow,0.025,0.11,3,9,18.55,68.92,29.23,23701,0.0718
stackoverflow,0.025,0.12,3,9,18.55,68.92,29.23,23701,0.0718
stackoverflow,0.025,0.13,2,10,6.55,72.0,12.0,17629,0.0525
stackoverflow,0.025,0.14,2,10,6.55,72.0,12.0,17629,0.0525
stackoverflow,0.025,0.15,2,10,6.55,72.0,12.0,17629,0.0525
stackoverflow,0.025,0.16,2,10,6.55,72.0,12.0,17629,0.0525
stackoverflow,0.025,0.17,2,10,6.55,72.0,12.0,17629,0.0525
stackoverflow,0.025,0.18,2,10,6.55,72.0,12.0,17629,0.0525
stackoverflow,0.025,0.19,2,10,6.55,72.0,12.0,17629,0.0525
stackoverflow,0.025,0.2,2,10,6.55,72.0,12.0,17629,0.0525
stackoverflow,0.025,0.21,1,11,6.18,85.0,11.53,13327,0.0399
stackoverflow,0.025,0.22,1,11,6.18,85.0,11.53,13327,0.0399
stackoverflow,0.025,0.23,1,11,6.18,85.0,11.53,13327,0.0399
stackoverflow,0.025,0.24,1,11,6.18,85.0,11.53,13327,0.0399
stackoverflow,0.025,0.25,0,12,0.0,0.0,0.0,8560,0.0251
stackoverflow,0.025,0.26,0,12,0.0,0.0,0.0,8560,0.0251
stackoverflow,0.025,0.27,0,12,0.0,0.0,0.0,8560,0.0251
stackoverflow,0.025,0.28,0,12,0.0,0.0,0.0,8560,0.0251
stackoverflow,0.025,0.29,0,12,0.0,0.0,0.0,8560,0.0251
stackoverflow,0.025,0.3,0,12,0.0,0.0,0.0,8560,0.0251
