Subgroup,Ratio,Threshold,Kept Pairs,Dropped Pairs,Recall (%),Precision (%),F1 (%),Total Tokens,Cost ($)
stackoverflow_projection,0.025,0.0,12,0,64.0,74.58,68.88,103892,0.3172
stackoverflow_projection,0.025,0.01,7,5,48.0,72.93,57.89,78323,0.2409
stackoverflow_projection,0.025,0.02,7,5,48.0,72.93,57.89,78323,0.2409
stackoverflow_projection,0.025,0.03,7,5,48.0,72.93,57.89,78323,0.2409
stackoverflow_projection,0.025,0.04,7,5,48.0,72.93,57.89,78323,0.2409
stackoverflow_projection,0.025,0.05,5,7,24.36,66.34,35.64,65004,0.1993
stackoverflow_projection,0.025,0.06,5,7,24.36,66.34,35.64,65004,0.1993
stackoverflow_projection,0.025,0.07,5,7,24.36,66.34,35.64,65004,0.1993
stackoverflow_projection,0.025,0.08,5,7,24.36,66.34,35.64,65004,0.1993
stackoverflow_projection,0.025,0.09,4,8,16.36,72.58,26.71,61610,0.1881
stackoverflow_projection,0.025,0.1,4,8,16.36,72.58,26.71,61610,0.1881
stackoverflow_projection,0.025,0.11,4,8,16.36,72.58,26.71,61610,0.1881
stackoverflow_projection,0.025,0.12,4,8,16.36,72.58,26.71,61610,0.1881
stackoverflow_projection,0.025,0.13,4,8,16.36,72.58,26.71,61610,0.1881
stackoverflow_projection,0.025,0.14,4,8,16.36,72.58,26.71,61610,0.1881
stackoverflow_projection,0.025,0.15,4,8,16.36,72.58,26.71,61610,0.1881
stackoverflow_projection,0.025,0.16,4,8,16.36,72.58,26.71,61610,0.1881
stackoverflow_projection,0.025,0.17,2,10,0.73,50.0,1.43,53319,0.1621
stackoverflow_projection,0.025,0.18,2,10,0.73,50.0,1.43,53319,0.1621
stackoverflow_projection,0.025,0.19,2,10,0.73,50.0,1.43,53319,0.1621
stackoverflow_projection,0.025,0.2,2,10,0.73,50.0,1.43,53319,0.1621
stackoverflow_projection,0.025,0.21,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.22,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.23,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.24,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.25,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.26,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.27,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.28,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.29,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.3,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.31,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.32,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.33,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.34,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.35,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.36,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.37,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.38,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.39,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.4,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.41,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.42,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.43,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.44,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.45,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.46,0,12,0.0,0.0,0.0,41957,0.128
stackoverflow_projection,0.025,0.47,0,12,0.0,0.0,0.0,41957,0.128
