Table_A_ID,Table_B_ID
A-5,B-2
A-6,B-1
A-9,B-2
A-10,B-1
A-27,B-2
A-2,B-11
A-5,B-2
A-6,B-4
A-9,B-3
A-10,B-12
A-27,B-8
A-28,B-11
A-0,B-11
A-5,B-5
A-6,B-5
A-9,B-5
A-10,B-5
A-23,B-5
A-27,B-5
A-28,B-11
A-29,B-11
A-5,B-1
A-6,B-8
A-10,B-4
A-23,B-3
A-27,B-8
A-9,B-8
A-1,B-1
A-4,B-9
A-28,B-9
A-19,B-9
A-20,B-4
A-3,B-2
A-11,B-6
A-12,B-2
A-13,B-9
A-29,B-9
A-22,B-9
A-17,B-9
A-18,B-9
A-15,B-9
A-14,B-9
A-1,B-1
A-0,B-1
A-2,B-2
A-4,B-9
A-5,B-1
A-6,B-8
A-10,B-4
A-23,B-3
A-27,B-8
A-9,B-8
A-1,B-1
A-4,B-9
A-28,B-9
A-19,B-9
A-20,B-4
A-3,B-2
A-11,B-6
A-12,B-2
A-13,B-9
A-29,B-9
A-22,B-9
A-17,B-9
A-18,B-9
A-15,B-9
A-14,B-9
B-0,B-1
B-5,B-11
B-3,B-4
B-2,B-8
B-10,B-12
B-5,B-11
B-8,B-9
B-12,B-14
A-0,B-9
A-1,B-4
A-1,B-8
A-1,B-10
A-1,B-11
A-1,B-1
A-5,B-2
A-0,B-1
A-5,B-2
A-1,B-3
A-4,B-4
A-6,B-7
A-3,B-12
A-2,B-8
A-7,B-11
A-5,B-5
A-11,B-11
A-1,B-1
A-5,B-8
A-3,B-4
A-6,B-6
A-0,B-9
A-2,B-3
A-4,B-10
A-7,B-11
A-1,B-2
A-3,B-3
A-4,B-4
A-5,B-1
A-1,B-11
A-2,B-2
A-3,B-4
A-5,B-10
A-1,B-4
A-3,B-1
A-5,B-8
A-4,B-0
A-2,B-3
A-0,B-5
A-0,B-2
A-1,B-4
A-3,B-11
A-2,B-7
A-1,B-10
A-3,B-12
A-0,B-1
A-0,B-4
A-1,B-6
A-3,B-9
A-3,B-11
B-0,B-1
B-3,B-4
B-8,B-1
