Table_A_ID,Table_B_ID
A-59,B-55
A-18,B-17
A-78,B-68
A-79,B-33
A-70,B-64
A-71,B-29
A-90,B-42
A-42,B-2
A-94,B-12
A-0,B-5
A-40,B-41
A-95,B-13
A-40,B-77
A-41,B-42
A-73,B-74
A-6,B-84
A-85,B-48
A-10,B-54
A-22,B-28
A-67,B-36
A-51,B-91
A-79,B-10
A-70,B-41
A-43,B-87
A-49,B-18
A-36,B-48
A-59,B-68
A-79,B-46
A-30,B-4
A-71,B-42
A-17,B-71
A-82,B-51
A-80,B-90
A-2,B-27
A-22,B-5
A-14,B-1
A-73,B-87
A-66,B-48
A-86,B-26
A-31,B-90
A-32,B-55
A-65,B-3
A-97,B-35
A-43,B-64
A-35,B-60
A-14,B-37
A-15,B-2
A-78,B-58
A-70,B-54
A-35,B-96
A-63,B-15
A-82,B-28
A-94,B-2
A-40,B-31
A-41,B-32
A-81,B-68
A-73,B-64
A-53,B-6
A-93,B-42
A-44,B-37
A-10,B-44
A-51,B-45
A-56,B-11
A-43,B-41
A-22,B-18
A-12,B-90
A-13,B-55
A-32,B-68
A-78,B-35
A-82,B-5
A-7,B-11
A-40,B-8
A-92,B-55
A-58,B-62
A-63,B-28
A-94,B-15
A-7,B-96
A-80,B-80
A-73,B-41
A-6,B-51
A-39,B-48
A-30,B-79
A-42,B-90
A-8,B-97
A-34,B-6
A-93,B-55
A-85,B-51
A-78,B-12
A-43,B-54
A-36,B-15
A-87,B-97
A-88,B-62
A-13,B-68
A-59,B-35
A-79,B-13
A-70,B-44
A-36,B-51
A-82,B-18
A-69,B-48
A-80,B-57
A-6,B-28
A-92,B-68
A-8,B-74
A-81,B-58
A-27,B-87
A-73,B-54
A-20,B-48
A-66,B-15
A-12,B-44
A-85,B-28
A-31,B-57
A-51,B-35
A-22,B-8
A-14,B-4
A-87,B-74
A-66,B-51
A-12,B-80
A-59,B-12
A-32,B-58
A-65,B-55
A-35,B-63
A-36,B-28
A-6,B-5
A-65,B-91
A-42,B-44
A-15,B-90
A-8,B-51
A-81,B-35
A-27,B-64
A-31,B-34
A-10,B-11
A-42,B-80
A-8,B-87
A-94,B-90
A-95,B-55
A-60,B-97
A-66,B-28
A-12,B-57
A-85,B-41
A-86,B-6
A-32,B-35
A-78,B-2
A-43,B-44
A-84,B-82
A-95,B-91
A-87,B-87
A-56,B-99
A-17,B-28
A-58,B-29
A-49,B-60
A-7,B-63
A-81,B-12
A-27,B-41
A-6,B-18
A-92,B-58
A-30,B-46
A-90,B-97
A-42,B-57
A-7,B-99
A-8,B-64
A-81,B-48
A-27,B-77
A-0,B-60
A-73,B-44
A-60,B-74
A-39,B-51
A-32,B-12
A-35,B-17
A-87,B-64
A-88,B-29
A-34,B-58
A-67,B-6
A-13,B-35
A-53,B-71
A-59,B-2
A-65,B-45
A-70,B-11
A-56,B-76
A-17,B-5
A-14,B-79
A-92,B-35
A-58,B-42
A-90,B-74
A-69,B-51
A-15,B-80
A-7,B-76
A-8,B-41
A-0,B-37
A-18,B-85
A-20,B-15
A-39,B-28
A-71,B-97
A-94,B-80
A-95,B-45
A-87,B-41
A-20,B-51
A-60,B-87
A-13,B-12
A-44,B-79
A-22,B-60
A-88,B-42
A-53,B-84
A-92,B-12
A-56,B-89
A-97,B-90
A-22,B-96
A-69,B-28
A-15,B-57
A-7,B-53
A-80,B-37
A-81,B-2
A-27,B-31
A-18,B-62
