Table_A_ID,Table_B_ID
A-49,B-23
A-7,B-26
A-42,B-2
A-29,B-32
A-41,B-42
A-33,B-38
A-34,B-3
A-2,B-32
A-22,B-10
A-45,B-12
A-3,B-15
A-22,B-28
A-49,B-0
A-22,B-46
A-46,B-13
A-14,B-42
A-15,B-7
A-7,B-3
A-18,B-12
A-29,B-27
A-8,B-4
A-30,B-4
A-0,B-0
A-29,B-45
A-41,B-19
A-33,B-15
A-2,B-27
A-45,B-7
A-2,B-45
A-22,B-23
A-14,B-19
A-15,B-2
A-38,B-4
A-18,B-7
A-36,B-43
A-29,B-22
A-41,B-14
A-33,B-10
A-41,B-32
A-10,B-26
A-33,B-28
A-2,B-22
A-22,B-0
A-45,B-2
A-10,B-44
A-34,B-11
A-14,B-14
A-24,B-46
A-14,B-32
A-47,B-29
A-18,B-2
A-36,B-38
A-7,B-11
A-47,B-47
A-17,B-43
A-6,B-15
A-29,B-17
A-40,B-26
A-40,B-44
A-10,B-3
A-44,B-14
A-33,B-23
A-2,B-17
A-10,B-39
A-34,B-6
A-3,B-0
A-22,B-13
A-13,B-32
A-36,B-15
A-47,B-42
A-17,B-38
A-40,B-3
A-29,B-12
A-41,B-4
A-33,B-0
A-6,B-46
A-39,B-43
A-2,B-12
A-12,B-44
A-13,B-27
A-35,B-27
A-14,B-4
A-13,B-45
A-35,B-45
A-36,B-10
A-47,B-19
A-17,B-15
A-36,B-28
A-29,B-7
A-42,B-44
A-39,B-38
A-10,B-11
A-2,B-7
A-20,B-43
A-12,B-39
A-24,B-13
A-43,B-26
A-13,B-22
A-35,B-22
A-43,B-44
A-47,B-14
A-17,B-10
A-36,B-23
A-47,B-32
A-17,B-28
A-6,B-0
A-29,B-2
A-40,B-11
A-42,B-39
A-8,B-46
A-30,B-46
A-31,B-29
A-10,B-6
A-2,B-2
A-20,B-38
A-43,B-3
A-31,B-47
A-23,B-43
A-13,B-17
A-35,B-17
A-24,B-26
A-43,B-39
A-36,B-0
A-24,B-44
A-47,B-27
A-38,B-46
A-17,B-23
A-40,B-6
A-6,B-13
A-39,B-10
A-20,B-15
A-39,B-28
A-39,B-46
A-12,B-29
A-31,B-42
A-23,B-38
A-24,B-3
A-12,B-47
A-13,B-12
A-35,B-12
A-4,B-43
A-46,B-27
A-47,B-4
A-17,B-0
A-36,B-13
A-49,B-32
A-46,B-45
A-42,B-29
A-0,B-32
A-42,B-47
A-20,B-10
A-39,B-23
A-12,B-6
A-31,B-19
A-23,B-15
A-20,B-28
A-43,B-11
A-12,B-42
A-13,B-7
A-35,B-7
A-4,B-38
A-1,B-14
A-46,B-22
A-1,B-32
A-49,B-27
A-49,B-45
A-42,B-6
A-8,B-13
A-39,B-0
A-42,B-42
A-31,B-14
A-0,B-45
A-23,B-10
A-41,B-46
A-20,B-23
A-12,B-19
A-31,B-32
A-4,B-15
A-23,B-28
A-43,B-6
A-13,B-2
A-35,B-2
A-24,B-11
A-34,B-43
A-46,B-17
A-14,B-46
A-38,B-13
A-49,B-22
A-15,B-29
A-27,B-3
A-15,B-47
A-7,B-43
A-42,B-19
A-8,B-26
A-30,B-26
A-20,B-0
A-39,B-13
A-8,B-44
A-30,B-44
A-12,B-14
A-4,B-10
A-44,B-46
A-23,B-23
A-4,B-28
A-24,B-6
A-34,B-38
A-3,B-32
A-22,B-45
A-46,B-12
A-49,B-17
A-38,B-26
A-15,B-42
A-7,B-38
A-8,B-3
A-30,B-3
A-42,B-14
A-31,B-4
A-23,B-0
A-20,B-13
A-33,B-32
A-34,B-15
A-2,B-44
A-22,B-22
A-46,B-7
A-38,B-3
A-3,B-45
A-49,B-12
A-15,B-19
A-7,B-15
A-27,B-11
A-29,B-39
A-0,B-12
A-33,B-27
A-12,B-4
A-4,B-0
A-10,B-43
A-33,B-45
A-34,B-10
A-2,B-39
A-22,B-17
A-14,B-13
A-34,B-28
A-46,B-2
A-49,B-7
A-15,B-14
A-7,B-10
A-15,B-32
A-7,B-28
A-42,B-4
A-8,B-11
A-30,B-11
A-0,B-7
A-40,B-43
A-44,B-13
A-41,B-26
A-33,B-22
A-41,B-44
A-10,B-38
A-22,B-12
A-45,B-14
A-34,B-23
A-45,B-32
A-14,B-26
A-49,B-2
A-14,B-44
A-38,B-11
A-18,B-14
A-7,B-23
A-29,B-29
A-30,B-6
A-0,B-2
A-40,B-38
A-41,B-3
A-6,B-45
A-29,B-47
A-10,B-15
A-33,B-17
A-41,B-39
A-34,B-0
A-2,B-29
A-22,B-7
A-14,B-3
A-2,B-47
A-3,B-12
A-36,B-27
A-15,B-4
A-7,B-0
A-17,B-32
A-36,B-45
A-40,B-15
A-29,B-42
A-44,B-3
A-10,B-10
A-33,B-12
A-2,B-6
A-10,B-28
A-22,B-2
A-2,B-42
A-3,B-7
A-43,B-43
A-13,B-39
A-35,B-39
A-36,B-22
A-17,B-27
A-17,B-45
A-40,B-10
A-29,B-19
A-40,B-28
A-41,B-11
A-33,B-7
A-31,B-46
A-10,B-23
A-2,B-19
A-3,B-2
A-43,B-38
A-14,B-11
A-24,B-43
A-36,B-17
A-47,B-26
A-17,B-22
A-47,B-44
A-6,B-12
A-29,B-14
A-40,B-23
A-41,B-6
A-10,B-0
A-33,B-2
A-39,B-45
A-44,B-11
A-2,B-14
A-43,B-15
A-12,B-46
A-4,B-42
A-13,B-29
A-35,B-29
A-14,B-6
A-24,B-38
A-47,B-3
A-13,B-47
A-35,B-47
A-36,B-12
A-17,B-17
A-47,B-39
A-40,B-0
A-6,B-7
A-42,B-46
A-20,B-27
A-10,B-13
A-23,B-32
A-20,B-45
A-43,B-10
A-13,B-6
A-24,B-15
A-43,B-28
A-43,B-46
A-13,B-42
A-35,B-42
A-36,B-7
A-17,B-12
A-6,B-2
A-29,B-4
A-40,B-13
A-39,B-17
A-20,B-22
A-23,B-27
A-2,B-4
A-4,B-32
A-23,B-45
A-24,B-10
A-43,B-23
A-13,B-19
A-35,B-19
A-24,B-28
A-36,B-2
A-47,B-11
A-17,B-7
A-49,B-39
A-15,B-46
A-39,B-12
A-8,B-43
A-30,B-43
A-20,B-17
A-12,B-13
A-31,B-26
A-23,B-22
A-43,B-0
A-31,B-44
A-4,B-27
A-1,B-3
A-13,B-14
A-35,B-14
A-4,B-45
A-45,B-46
A-24,B-23
A-35,B-32
A-46,B-29
A-47,B-6
A-17,B-2
A-46,B-47
A-38,B-43
A-27,B-15
A-18,B-46
A-42,B-13
A-39,B-7
A-8,B-38
A-30,B-38
A-31,B-3
A-20,B-12
A-4,B-4
A-23,B-17
A-12,B-26
A-15,B-12
A-31,B-39
A-4,B-22
