Table_A_ID,Table_B_ID
A-12,B-4
A-4,B-0
A-41,B-49
A-8,B-0
A-42,B-2
A-12,B-25
A-0,B-5
A-2,B-2
A-11,B-5
A-40,B-41
A-15,B-5
A-6,B-2
A-3,B-49
A-14,B-49
A-21,B-0
A-49,B-25
A-42,B-41
A-4,B-2
A-2,B-41
A-17,B-5
A-8,B-2
A-28,B-5
A-42,B-4
A-6,B-41
A-2,B-4
A-20,B-49
A-31,B-49
A-38,B-0
A-49,B-0
A-4,B-41
A-42,B-25
A-21,B-2
A-15,B-25
A-2,B-25
A-8,B-41
A-44,B-49
A-8,B-4
A-0,B-0
A-11,B-0
A-4,B-25
A-21,B-41
A-15,B-0
A-38,B-2
A-49,B-2
A-43,B-25
A-8,B-25
A-18,B-5
A-10,B-49
A-17,B-0
A-28,B-0
A-34,B-25
A-21,B-25
A-38,B-41
A-0,B-2
A-11,B-2
A-43,B-0
A-49,B-41
A-15,B-2
A-24,B-5
A-35,B-5
A-12,B-49
A-38,B-4
A-27,B-49
A-34,B-0
A-0,B-41
A-11,B-41
A-37,B-5
A-17,B-2
A-28,B-2
A-38,B-25
A-15,B-41
A-41,B-5
A-43,B-2
A-40,B-49
A-18,B-0
A-24,B-25
A-0,B-25
A-11,B-25
A-17,B-41
A-28,B-41
A-34,B-2
A-35,B-25
A-42,B-49
A-3,B-5
A-2,B-49
A-43,B-41
A-43,B-4
A-6,B-49
A-13,B-0
A-24,B-0
A-35,B-0
A-41,B-25
A-17,B-25
A-28,B-25
A-18,B-2
A-34,B-41
A-31,B-5
A-34,B-4
A-8,B-49
A-37,B-0
A-41,B-0
A-3,B-25
A-14,B-25
A-18,B-41
A-44,B-5
A-13,B-2
A-24,B-2
A-35,B-2
A-21,B-49
A-40,B-2
A-3,B-0
A-14,B-0
A-37,B-2
A-20,B-25
A-18,B-25
A-13,B-41
A-24,B-41
A-31,B-25
A-35,B-41
A-41,B-2
A-38,B-49
A-49,B-49
A-13,B-4
A-44,B-25
A-37,B-41
A-20,B-0
A-31,B-0
A-13,B-25
A-3,B-2
A-14,B-2
A-11,B-49
A-41,B-41
A-27,B-5
A-15,B-49
A-44,B-0
A-37,B-25
A-10,B-25
A-14,B-41
A-3,B-41
A-40,B-5
A-20,B-2
A-31,B-2
A-17,B-49
A-4,B-49
A-28,B-49
A-14,B-4
A-43,B-49
A-10,B-0
A-44,B-2
A-27,B-25
A-20,B-41
A-31,B-41
A-34,B-49
A-6,B-5
A-20,B-4
A-12,B-0
A-40,B-25
A-4,B-5
A-44,B-41
A-27,B-0
A-10,B-2
A-18,B-49
A-40,B-0
A-21,B-5
