Table_A_ID,Table_B_ID
A-0,A-3
A-0,A-11
A-0,A-18
A-0,A-27
A-0,A-44
A-0,A-49
A-3,A-11
A-3,A-18
A-3,A-27
A-3,A-44
A-3,A-49
A-11,A-18
A-11,A-27
A-11,A-44
A-11,A-49
A-18,A-27
A-18,A-44
A-18,A-49
A-27,A-44
A-27,A-49
A-44,A-49
A-2,A-8
A-2,A-10
A-2,A-12
A-2,A-13
A-2,A-14
A-2,A-20
A-2,A-34
A-2,A-38
A-2,A-42
A-2,A-43
A-4,A-8
A-4,A-10
A-4,A-12
A-4,A-13
A-4,A-14
A-4,A-20
A-4,A-34
A-4,A-38
A-4,A-42
A-4,A-43
A-8,A-10
A-8,A-12
A-8,A-13
A-8,A-14
A-8,A-20
A-8,A-34
A-8,A-38
A-8,A-42
A-8,A-43
A-10,A-12
A-10,A-13
A-10,A-14
A-10,A-20
A-10,A-34
A-10,A-38
A-10,A-42
A-10,A-43
A-12,A-13
A-12,A-14
A-12,A-20
A-12,A-34
A-12,A-38
A-12,A-42
A-12,A-43
A-13,A-14
A-13,A-20
A-13,A-34
A-13,A-38
A-13,A-42
A-13,A-43
A-14,A-20
A-14,A-34
A-14,A-38
A-14,A-42
A-14,A-43
A-20,A-34
A-20,A-38
A-20,A-42
A-20,A-43
A-34,A-38
A-34,A-42
A-34,A-43
A-38,A-42
A-38,A-43
A-42,A-43
A-0,A-3
A-0,A-11
A-0,A-18
A-0,A-27
A-0,A-44
A-0,A-49
A-3,A-11
A-3,A-18
A-3,A-27
A-3,A-44
A-3,A-49
A-11,A-18
A-11,A-27
A-11,A-44
A-11,A-49
A-18,A-27
A-18,A-44
A-18,A-49
A-27,A-44
A-27,A-49
A-44,A-49
A-2,A-8
A-2,A-10
A-2,A-12
A-2,A-13
A-2,A-14
A-2,A-20
A-2,A-34
A-2,A-38
A-2,A-42
A-2,A-43
A-2,B-30
A-8,A-10
A-8,A-12
A-8,A-13
A-8,A-14
A-8,A-20
A-8,A-34
A-8,A-38
A-8,A-42
A-8,A-43
A-8,B-30
A-10,A-12
A-10,A-13
A-10,A-14
A-10,A-20
A-10,A-34
A-10,A-38
A-10,A-42
A-10,A-43
A-10,B-30
A-12,A-13
A-12,A-14
A-12,A-20
A-12,A-34
A-12,A-38
A-12,A-42
A-12,A-43
A-12,B-30
A-13,A-14
A-13,A-20
A-13,A-34
A-13,A-38
A-13,A-42
A-13,A-43
A-13,B-30
A-14,A-20
A-14,A-34
A-14,A-38
A-14,A-42
A-14,A-43
A-14,B-30
A-20,A-34
A-20,A-38
A-20,A-42
A-20,A-43
A-20,B-30
A-34,A-38
A-34,A-42
A-34,A-43
A-34,B-30
A-38,A-42
A-38,A-43
A-38,B-30
A-42,A-43
A-42,B-30
