Table_A_ID,Table_B_ID
A-0,B-5
A-0,B-49
A-3,B-5
A-3,B-49
A-6,B-5
A-6,B-49
A-11,B-5
A-11,B-49
A-17,B-5
A-17,B-49
A-18,B-5
A-18,B-49
A-27,B-5
A-27,B-49
A-31,B-5
A-31,B-49
A-37,B-5
A-37,B-49
A-40,B-5
A-40,B-49
A-41,B-5
A-41,B-49
A-44,B-5
A-44,B-49
A-49,B-5
A-49,B-49
A-2,B-2
A-2,B-4
A-2,B-41
A-8,B-2
A-8,B-4
A-8,B-41
A-10,B-2
A-10,B-4
A-10,B-41
A-12,B-2
A-12,B-4
A-12,B-41
A-13,B-2
A-13,B-4
A-13,B-41
A-14,B-2
A-14,B-4
A-14,B-41
A-20,B-2
A-20,B-4
A-20,B-41
A-34,B-2
A-34,B-4
A-34,B-41
A-38,B-2
A-38,B-4
A-38,B-41
A-42,B-2
A-42,B-4
A-42,B-41
A-43,B-2
A-43,B-4
A-43,B-41
A-0,B-33
A-0,B-44
A-0,B-48
A-3,B-33
A-3,B-44
A-3,B-48
A-6,B-33
A-6,B-44
A-6,B-48
A-11,B-33
A-11,B-44
A-11,B-48
A-18,B-33
A-18,B-44
A-18,B-48
A-27,B-33
A-27,B-44
A-27,B-48
A-31,B-33
A-31,B-44
A-31,B-48
A-37,B-33
A-37,B-44
A-37,B-48
A-40,B-33
A-40,B-44
A-40,B-48
A-41,B-33
A-41,B-44
A-41,B-48
A-44,B-33
A-44,B-44
A-44,B-48
A-49,B-33
A-49,B-44
A-49,B-48
A-2,B-19
A-2,B-29
A-2,B-30
A-2,B-34
A-2,B-35
A-2,B-40
A-2,B-42
A-2,B-43
A-8,B-19
A-8,B-29
A-8,B-30
A-8,B-34
A-8,B-35
A-8,B-40
A-8,B-42
A-8,B-43
A-10,B-19
A-10,B-29
A-10,B-30
A-10,B-34
A-10,B-35
A-10,B-40
A-10,B-42
A-10,B-43
A-12,B-19
A-12,B-29
A-12,B-30
A-12,B-34
A-12,B-35
A-12,B-40
A-12,B-42
A-12,B-43
A-13,B-19
A-13,B-29
A-13,B-30
A-13,B-34
A-13,B-35
A-13,B-40
A-13,B-42
A-13,B-43
A-14,B-19
A-14,B-29
A-14,B-30
A-14,B-34
A-14,B-35
A-14,B-40
A-14,B-42
A-14,B-43
A-20,B-19
A-20,B-29
A-20,B-30
A-20,B-34
A-20,B-35
A-20,B-40
A-20,B-42
A-20,B-43
A-34,B-19
A-34,B-29
A-34,B-30
A-34,B-34
A-34,B-35
A-34,B-40
A-34,B-42
A-34,B-43
A-38,B-19
A-38,B-29
A-38,B-30
A-38,B-34
A-38,B-35
A-38,B-40
A-38,B-42
A-38,B-43
A-42,B-19
A-42,B-29
A-42,B-30
A-42,B-34
A-42,B-35
A-42,B-40
A-42,B-42
A-42,B-43
A-43,B-19
A-43,B-29
A-43,B-30
A-43,B-34
A-43,B-35
A-43,B-40
A-43,B-42
A-43,B-43
A-0,B-16
A-0,B-36
A-0,B-45
A-3,B-16
A-3,B-36
A-3,B-45
A-6,B-16
A-6,B-36
A-6,B-45
A-11,B-16
A-11,B-36
A-11,B-45
A-15,B-16
A-15,B-36
A-15,B-45
A-17,B-16
A-17,B-36
A-17,B-45
A-18,B-16
A-18,B-36
A-18,B-45
A-27,B-16
A-27,B-36
A-27,B-45
A-31,B-16
A-31,B-36
A-31,B-45
A-37,B-16
A-37,B-36
A-37,B-45
A-40,B-16
A-40,B-36
A-40,B-45
A-41,B-16
A-41,B-36
A-41,B-45
A-44,B-16
A-44,B-36
A-44,B-45
A-49,B-16
A-49,B-36
A-49,B-45
A-2,B-9
A-2,B-10
A-2,B-17
A-2,B-18
A-2,B-20
A-2,B-31
A-2,B-39
A-4,B-9
A-4,B-10
A-4,B-17
A-4,B-18
A-4,B-20
A-4,B-31
A-4,B-39
A-8,B-9
A-8,B-10
A-8,B-17
A-8,B-18
A-8,B-20
A-8,B-31
A-8,B-39
A-10,B-9
A-10,B-10
A-10,B-17
A-10,B-18
A-10,B-20
A-10,B-31
A-10,B-39
A-12,B-9
A-12,B-10
A-12,B-17
A-12,B-18
A-12,B-20
A-12,B-31
A-12,B-39
A-13,B-9
A-13,B-10
A-13,B-17
A-13,B-18
A-13,B-20
A-13,B-31
A-13,B-39
A-14,B-9
A-14,B-10
A-14,B-17
A-14,B-18
A-14,B-20
A-14,B-31
A-14,B-39
A-20,B-9
A-20,B-10
A-20,B-17
A-20,B-18
A-20,B-20
A-20,B-31
A-20,B-39
A-34,B-9
A-34,B-10
A-34,B-17
A-34,B-18
A-34,B-20
A-34,B-31
A-34,B-39
A-38,B-9
A-38,B-10
A-38,B-17
A-38,B-18
A-38,B-20
A-38,B-31
A-38,B-39
A-42,B-9
A-42,B-10
A-42,B-17
A-42,B-18
A-42,B-20
A-42,B-31
A-42,B-39
A-43,B-9
A-43,B-10
A-43,B-17
A-43,B-18
A-43,B-20
A-43,B-31
A-43,B-39
A-1,B-1
A-1,B-3
A-1,B-15
A-1,B-32
A-1,B-33
A-1,B-44
A-1,B-48
A-1,B-16
A-1,B-21
A-1,B-36
A-1,B-45
A-1,B-24
A-1,B-46
A-5,B-5
A-5,B-49
A-26,B-5
A-26,B-49
A-48,B-5
A-48,B-49
A-9,B-2
A-9,B-4
A-9,B-25
A-9,B-41
A-16,B-2
A-16,B-4
A-16,B-25
A-16,B-41
A-23,B-2
A-23,B-4
A-23,B-25
A-23,B-41
