idAmazon,idGoogleBase
b0002nt5ho,http://www.google.com/base/feeds/snippets/5527718669808727624
b000099108,http://www.google.com/base/feeds/snippets/18105761375553744131
b000bt8trg,http://www.google.com/base/feeds/snippets/11826731647881867985
b0000azk3v,http://www.google.com/base/feeds/snippets/8506958797516287357
b000g80lku,http://www.google.com/base/feeds/snippets/16862951998092117648
b000ozhfsq,http://www.google.com/base/feeds/snippets/18438075297130458214
b00002s5ig,http://www.google.com/base/feeds/snippets/8376577004489658408
b000hjott2,http://www.google.com/base/feeds/snippets/16558385795268912766
b000edjjhs,http://www.google.com/base/feeds/snippets/17033785854482020785
b0008ews9o,http://www.google.com/base/feeds/snippets/18354430457145981051
b000o3bge2,http://www.google.com/base/feeds/snippets/3594701920411099396
b000v7riie,http://www.google.com/base/feeds/snippets/17523098183862840727
b000hhzie4,http://www.google.com/base/feeds/snippets/11038012533329162078
b000b6oboo,http://www.google.com/base/feeds/snippets/12418972562708861095
b000licg1m,http://www.google.com/base/feeds/snippets/6070036801370348429
b0000afu4e,http://www.google.com/base/feeds/snippets/10376000923691891679
b0000c7fpt,http://www.google.com/base/feeds/snippets/17175991674191849246
b000a7q6n8,http://www.google.com/base/feeds/snippets/9575830162604297862
b000h69szu,http://www.google.com/base/feeds/snippets/15544999546747963941
b000in18nm,http://www.google.com/base/feeds/snippets/12354599434001970846
b00019jgwi,http://www.google.com/base/feeds/snippets/407742822135371560
b0001wn0m2,http://www.google.com/base/feeds/snippets/2691848002513611613
b000gamw7s,http://www.google.com/base/feeds/snippets/18053348848713858697
b000bx0006,http://www.google.com/base/feeds/snippets/4621582451171111860
b000fk8b42,http://www.google.com/base/feeds/snippets/15528939772983751628
b000butd6q,http://www.google.com/base/feeds/snippets/6990565128537638388
b000qxd2tc,http://www.google.com/base/feeds/snippets/7653075580455328736
b000k5uxys,http://www.google.com/base/feeds/snippets/5935343405881149008
b000brm3xe,http://www.google.com/base/feeds/snippets/7181709960017015550
b00008mnxz,http://www.google.com/base/feeds/snippets/18389048469504944658
b000egidpy,http://www.google.com/base/feeds/snippets/5558998293398547766
b000e8jlda,http://www.google.com/base/feeds/snippets/14794198635011271295
b000bckm46,http://www.google.com/base/feeds/snippets/17651580132908652894
b000cepgwg,http://www.google.com/base/feeds/snippets/4433860407786915136
b0008glg1i,http://www.google.com/base/feeds/snippets/65639973300118271
b00021lrw2,http://www.google.com/base/feeds/snippets/6591008499871907116
b000fcyts2,http://www.google.com/base/feeds/snippets/14641221219676710452
b000gkpds8,http://www.google.com/base/feeds/snippets/5515688203820371988
b00068u7ww,http://www.google.com/base/feeds/snippets/13815055497602261010
b000qd9f5w,http://www.google.com/base/feeds/snippets/16981277851522177810
b00007kh02,http://www.google.com/base/feeds/snippets/7249154325906371083
b000jj4fbw,http://www.google.com/base/feeds/snippets/18427202789383020961
b000nvkyse,http://www.google.com/base/feeds/snippets/1492097838915695810
b000gb1xfo,http://www.google.com/base/feeds/snippets/5068947095089747483
b000ro7h3w,http://www.google.com/base/feeds/snippets/13792413550965266630
b000jgw9ae,http://www.google.com/base/feeds/snippets/10471177135649344162
b0002e3g6o,http://www.google.com/base/feeds/snippets/18384557845547191313
b000nkklwe,http://www.google.com/base/feeds/snippets/16700933768709687512
b000h27psq,http://www.google.com/base/feeds/snippets/13799844440134110129
b00030iej6,http://www.google.com/base/feeds/snippets/7742313617688572944
b0002fgfiy,http://www.google.com/base/feeds/snippets/16668702350993735780
b00006jo4g,http://www.google.com/base/feeds/snippets/17694493073700371269
b000m9c70k,http://www.google.com/base/feeds/snippets/18227817484834707150
b0009yx9by,http://www.google.com/base/feeds/snippets/5238862557893361196
b0007sxglk,http://www.google.com/base/feeds/snippets/17762641182538089473
b000g0oom4,http://www.google.com/base/feeds/snippets/6320757184409585395
b0000azk3v,http://www.google.com/base/feeds/snippets/5449819493015414043
b000o24l3q,http://www.google.com/base/feeds/snippets/9489728552695383239
b000314vvu,http://www.google.com/base/feeds/snippets/18384366678790095384
b000jx84va,http://www.google.com/base/feeds/snippets/17836395815164917371
b0007l9ecw,http://www.google.com/base/feeds/snippets/5363123129666342202
b0002x1omi,http://www.google.com/base/feeds/snippets/7039940734695244235
b0006aao96,http://www.google.com/base/feeds/snippets/15911936238938935149
b00032heya,http://www.google.com/base/feeds/snippets/6195321262763979528
b0002h6x34,http://www.google.com/base/feeds/snippets/4823291609006887387
b000hbvvka,http://www.google.com/base/feeds/snippets/13394537834910060641
b000he39mk,http://www.google.com/base/feeds/snippets/17771223071817478541
b000ofnrhy,http://www.google.com/base/feeds/snippets/9526578983773698753
b000tl4qb4,http://www.google.com/base/feeds/snippets/1949229857064458441
b00007g3ai,http://www.google.com/base/feeds/snippets/2519306436830554150
b000gpsz42,http://www.google.com/base/feeds/snippets/17546591632033422235
b000eu10wi,http://www.google.com/base/feeds/snippets/7587316869277129977
b000ozibhk,http://www.google.com/base/feeds/snippets/18418631443367666576
b000o39u3g,http://www.google.com/base/feeds/snippets/13023052343955574084
b00027eqmy,http://www.google.com/base/feeds/snippets/2460101921085498175
b000lp6jky,http://www.google.com/base/feeds/snippets/908293428104495266
b00005ld1r,http://www.google.com/base/feeds/snippets/18367097829354438075
b000cco5wa,http://www.google.com/base/feeds/snippets/18260252787140686571
b00004ochi,http://www.google.com/base/feeds/snippets/8564521918031484066
b000e8jlbw,http://www.google.com/base/feeds/snippets/3597076779822744306
b0007lw23a,http://www.google.com/base/feeds/snippets/11630432614273539055
b000p5in5e,http://www.google.com/base/feeds/snippets/17334196774609191985
b000ra5bl6,http://www.google.com/base/feeds/snippets/14007011703509063417
b000cqnjim,http://www.google.com/base/feeds/snippets/10662427062723563235
b000ivfciq,http://www.google.com/base/feeds/snippets/12151689484559213261
b000h241zg,http://www.google.com/base/feeds/snippets/11611566315397308287
b000h22pg8,http://www.google.com/base/feeds/snippets/392494394952738157
b000bdiqpc,http://www.google.com/base/feeds/snippets/17153123894129090968
b00029rapc,http://www.google.com/base/feeds/snippets/17059526546034030562
b000qxd2tm,http://www.google.com/base/feeds/snippets/17972160650826336548
b0006g2wke,http://www.google.com/base/feeds/snippets/18422068306669698354
b000i7zabo,http://www.google.com/base/feeds/snippets/17479437813216357894
b000n28264,http://www.google.com/base/feeds/snippets/9029807166568270057
b000hbxjuk,http://www.google.com/base/feeds/snippets/15555806239483804720
b000eiau3u,http://www.google.com/base/feeds/snippets/18396389648150219430
b000fiejt0,http://www.google.com/base/feeds/snippets/2044788707045179226
b000o3efrm,http://www.google.com/base/feeds/snippets/4233168214815079628
b000hedyio,http://www.google.com/base/feeds/snippets/16622880533554607802
b000jx1on0,http://www.google.com/base/feeds/snippets/16738828984601610049
b0009y6f56,http://www.google.com/base/feeds/snippets/13392915442415544255
