question_id,concept_id
26690360,T-8
29245710,T-0
10314070,T-8
31584230,T-8
31584230,T-21
17366490,T-8
17366490,T-21
10010430,T-20
10010430,T-9
20373460,T-7
7875850,T-8
30160340,T-8
23745130,T-5
23745130,T-76
18189840,T-7
18189840,T-12
19867580,T-0
19867580,T-68
4210270,T-21
4210270,T-1
4210270,T-15
4210270,T-35
35066040,T-28
35066040,T-9
12158810,T-8
16855780,T-34
16855780,T-5
7845470,T-16
7845470,T-7
7845470,T-74
7845470,T-23
4877260,T-7
4877260,T-71
32551300,T-28
32551300,T-9
39312530,T-0
25485250,T-7
14350200,T-8
14350200,T-27
14350200,T-56
10000790,T-3
15622930,T-4
15622930,T-0
21055210,T-17
21055210,T-7
10734080,T-5
10734080,T-39
10734080,T-97
31846240,T-8
568320,T-0
4818270,T-2
29776850,T-5
29776850,T-75
13958950,T-8
33287490,T-27
33287490,T-0
8510830,T-10
8510830,T-4
8510830,T-0
4637180,T-7
4637180,T-18
9809210,T-2
9809210,T-7
16016060,T-0
4348520,T-7
4348520,T-9
29196460,T-5
27252350,T-5
11390850,T-5
15933780,T-28
15933780,T-9
37287590,T-5
7837270,T-13
7837270,T-7
24049000,T-69
24049000,T-6
24049000,T-7
19786450,T-8
19786450,T-49
9573010,T-66
9573010,T-0
32526760,T-28
32526760,T-9
17367420,T-16
17367420,T-7
14046830,T-7
14046830,T-50
17125720,T-7
39855330,T-8
39855330,T-22
23272890,T-62
23272890,T-6
23272890,T-27
23272890,T-80
15801640,T-8
27048750,T-76
27048750,T-0
16000380,T-46
16000380,T-76
16000380,T-0
32679030,T-4
32679030,T-20
5654830,T-6
5654830,T-27
23417490,T-8
23417490,T-82
23417490,T-77
29926320,T-8
29926320,T-71
6066200,T-7
6066200,T-97
33116730,T-15
33116730,T-0
13239350,T-5
29494450,T-8
29494450,T-70
2298290,T-8
2298290,T-71
10516140,T-7
18447380,T-1
9559520,T-1
9559520,T-27
911780,T-8
9566770,T-21
9566770,T-5
26394490,T-5
26394490,T-97
32970220,T-2
32970220,T-7
3263140,T-63
3263140,T-9
211480,T-8
39553860,T-9
39553860,T-14
29848320,T-81
29848320,T-5
7687490,T-9
7687490,T-0
22033660,T-8
7905010,T-5
6647080,T-0
10377950,T-5
10377950,T-30
24156560,T-8
2968270,T-2
34220730,T-5
10442470,T-8
10442470,T-21
10442470,T-15
35218080,T-8
35218080,T-35
5111040,T-87
5111040,T-3
5111040,T-30
844050,T-2
844050,T-7
844050,T-12
13651090,T-0
15122750,T-10
15122750,T-0
21324120,T-7
20991530,T-34
20991530,T-0
17801180,T-7
1412040,T-1
1412040,T-27
30772860,T-7
30772860,T-97
22275370,T-1
5304360,T-0
12515780,T-7
12896480,T-51
12896480,T-7
30603740,T-8
30603740,T-4
14347280,T-7
30808780,T-8
30808780,T-32
29415880,T-20
29415880,T-9
29415880,T-14
10658920,T-40
10658920,T-0
38009300,T-8
3140690,T-9
6415620,T-29
6415620,T-2
6415620,T-13
6415620,T-7
34266860,T-5
36617780,T-28
36617780,T-9
36617780,T-14
29941730,T-8
29941730,T-88
29941730,T-86
1312930,T-2
1312930,T-51
1312930,T-64
20940350,T-6
33321560,T-42
33321560,T-20
33321560,T-16
33321560,T-9
33321560,T-14
11329420,T-8
11329420,T-2
11329420,T-14
35059240,T-3
35059240,T-30
31736220,T-8
31736220,T-34
8524790,T-7
8294710,T-8
13520350,T-28
13520350,T-9
19533830,T-29
19533830,T-5
20278790,T-8
20278790,T-27
5930150,T-5
5930150,T-97
4724950,T-9
4724950,T-14
10060050,T-2
10060050,T-7
39832670,T-34
39832670,T-87
39832670,T-0
4325620,T-7
4325620,T-12
17210740,T-29
17210740,T-2
17210740,T-7
33616140,T-8
33616140,T-41
9358340,T-21
9358340,T-1
13939620,T-81
13939620,T-5
26468710,T-7
23431940,T-7
2357160,T-7
2357160,T-27
12893590,T-7
6051960,T-8
29798130,T-8
29798130,T-54
29798130,T-34
37391130,T-8
37391130,T-38
13993820,T-34
13993820,T-46
13993820,T-7
22154140,T-28
22154140,T-9
16360910,T-73
16360910,T-0
574280,T-90
574280,T-7
4960880,T-0
12001060,T-9
14688510,T-0
11097170,T-4
11097170,T-5
12747650,T-1
12747650,T-20
12747650,T-27
12747650,T-9
12747650,T-24
15046170,T-82
15046170,T-0
36615010,T-81
36615010,T-4
36615010,T-5
36615010,T-26
27136950,T-2
11288050,T-3
22879670,T-5
22879670,T-39
18178990,T-7
32434240,T-4
32434240,T-0
31455890,T-6
1196560,T-8
1196560,T-21
1196560,T-34
1196560,T-65
38720170,T-1
38720170,T-6
38720170,T-27
25049480,T-7
25049480,T-12
18222180,T-28
18222180,T-9
16937030,T-8
16937030,T-21
35916680,T-0
13764730,T-7
13764730,T-0
13764730,T-14
38170190,T-3
38170190,T-5
12775390,T-9
35993690,T-46
35993690,T-5
5057170,T-7
39184930,T-5
30874370,T-0
22582760,T-3
22582760,T-45
7507320,T-8
38549090,T-28
38549090,T-9
38549090,T-38
28666880,T-8
1609460,T-0
29749330,T-44
29749330,T-9
29749330,T-14
28750580,T-44
28750580,T-2
6870180,T-8
26216020,T-16
26216020,T-7
26216020,T-12
21019630,T-8
21019630,T-16
16023890,T-7
10888960,T-8
10888960,T-22
33065600,T-8
11514640,T-7
11514640,T-50
32609640,T-0
3375810,T-8
1068530,T-3
17427410,T-8
17427410,T-21
19630640,T-2
19630640,T-64
7827250,T-7
22497650,T-28
22497650,T-9
18435370,T-30
18435370,T-9
28463350,T-5
8221220,T-8
8221220,T-21
3164260,T-8
3164260,T-73
16048260,T-7
27146090,T-2
31969060,T-53
31969060,T-0
26915090,T-9
26915090,T-14
17843630,T-10
17843630,T-35
17843630,T-0
7679020,T-8
7679020,T-56
30604270,T-44
30604270,T-28
30604270,T-9
30604270,T-14
6318170,T-0
37509610,T-7
21016540,T-93
21016540,T-12
21016540,T-9
2706630,T-8
2706630,T-32
34134540,T-6
34134540,T-27
6214110,T-8
6214110,T-32
34332520,T-8
34332520,T-21
29230650,T-0
4430840,T-2
4430840,T-15
4825400,T-5
20061320,T-2
20061320,T-7
31296820,T-8
31296820,T-13
28897010,T-0
36632870,T-6
36632870,T-7
36632870,T-27
36632870,T-57
12099980,T-8
12099980,T-26
9727090,T-6
21681300,T-5
4178910,T-29
4178910,T-5
5228030,T-7
3119870,T-8
6234040,T-5
6234040,T-75
5398630,T-2
5398630,T-74
5398630,T-12
19158720,T-8
19158720,T-88
30648860,T-0
29252790,T-8
29252790,T-46
1938750,T-5
1938750,T-73
1938750,T-30
26881400,T-8
26881400,T-63
15488150,T-8
15488150,T-49
17882090,T-8
23124620,T-8
26561720,T-81
26561720,T-5
25014110,T-2
25014110,T-7
19402700,T-7
19402700,T-50
18411090,T-0
4543310,T-8
12220630,T-49
12220630,T-9
12220630,T-14
36521580,T-8
36521580,T-52
25253890,T-7
9380510,T-8
7225170,T-4
7225170,T-7
25360600,T-8
25360600,T-63
25360600,T-32
26410290,T-8
26410290,T-26
14305880,T-8
14305880,T-52
29073990,T-8
29073990,T-22
6648520,T-5
6648520,T-75
21069340,T-8
5905110,T-2
5905110,T-5
7121870,T-9
7121870,T-68
7121870,T-14
18549530,T-20
18549530,T-9
3830000,T-10
3830000,T-51
3830000,T-0
23267620,T-7
23267620,T-23
23267620,T-71
24746170,T-7
