question_id,concept_id
2250080,T-8
2380130,T-10
2495350,T-0
2495350,T-11
2625150,T-12
2625150,T-13
3467950,T-14
3467950,T-16
3682460,T-18
3682460,T-19
4007320,T-20
4007320,T-13
4030640,T-19
5097450,T-14
6013110,T-7
6013110,T-14
6013110,T-12
6223240,T-8
6223240,T-22
6625110,T-8
6625110,T-21
7717830,T-20
7717830,T-24
8023930,T-27
8023930,T-1
8797800,T-5
9637100,T-21
10155330,T-21
10682430,T-7
10682430,T-2
10813930,T-5
11956800,T-21
12198670,T-20
12787730,T-0
13367360,T-8
13367360,T-11
13720510,T-20
13720510,T-24
13748770,T-14
14740150,T-14
14740150,T-26
15706930,T-0
15706930,T-26
15897500,T-9
15897500,T-15
16862880,T-11
16862880,T-3
16862880,T-35
17541960,T-35
17541960,T-36
18294830,T-40
21050340,T-21
21262830,T-8
21262830,T-21
24335810,T-8
25798350,T-33
25798350,T-19
27405500,T-7
27405500,T-17
29346030,T-5
30603680,T-8
30770960,T-8
30770960,T-20
30770960,T-21
30770960,T-24
31257720,T-20
31257720,T-16
31257720,T-42
31257720,T-35
33688020,T-8
35235300,T-48
36012890,T-21
36012890,T-22
36085460,T-8
36085460,T-21
36401290,T-0
36738670,T-20
37193380,T-36
37493520,T-36
39393520,T-7
39912520,T-8
39912520,T-21
39912520,T-35
