question_id,question_text
39363200,"Title: ""AccessToken.user"" must be a ""User"" instance | Body: I am trying to figure out oAuth2 token based authentication since 3 days and no avail yet. I have written a code for user authentication. However, I am getting an error of 


  ValueError at /api/customer/login/ Cannot assign ""{'username':
  'sanskars'}"": ""AccessToken.user"" must be a ""User"" instance"
23431940,"Title: C# access data from COMAdmin.COMAdminCatalog using WMI | Body: Earlier I was using code as below to grab COM+ applications and verify that my app is running

COMAdmin.COMAdminCatalog catalog = new COMAdmin.COMAdminCatalogClass();
catalog.Connect(servername);
catalog.GetCollection(""Applications"")


Now I need to perform the same actions but from other domain. So"
10795630,"Title: Share image from SD Card | Body: I'm trying for 2 weeks to find how to share images which are stored on an SD card with no success. 

This answer doesn't work to me, nor is it what I'm looking for.

I'm working with Cam Preview app that stores images to SD and then display them in in-app gallery: 

   public class GalleryView exten"
22025090,"Title: Datatable filter not working | Body: I am using Primefaces for creating a filterable table.

&lt;p:dataTable id=""tasksTable"" value=""#{taskView.currentTasks}"" var=""task"" rowIndexVar=""index"" filteredValue=""#{taskView.filteredTasks}""&gt;
                &lt;p:column headerText=""Name""&gt;
                    &lt;h:outputText value=""#{task."
11604390,"Title: Numerical Problems with GNU MP Bignum Library | Body: I'm doing some number crunching, which needs high precision arithmetic. I'm using the GNU MP library, and according to the GMP manual:

""Floating point number or Float for short, is an arbitrary precision mantissa with a limited precision exponent.""

Although the mantissa is supposed to have an arbi"
11271470,"Title: FATAL EXCEPTION: main- I have no idea what's wrong | Body: I'm still fairly new to Eclipse and I have tried everything to keep these errors from happening:

06-30 00:38:28.773: E/AndroidRuntime(20520): FATAL EXCEPTION: main
06-30 00:38:28.773: E/AndroidRuntime(20520): java.lang.SecurityException: Permission       Denial: starting Intent { act=android.intent"
35879220,"Title: Weights in a labeled_graph | Body: How do I add weights to this labeled graph that uses add_edge_by_label for use in dijkstra_shortest_paths?
Am trying to use an example
Thanks

#include &lt;boost/graph/adjacency_list.hpp&gt;
#include &lt;boost/graph/copy.hpp&gt;
#include &lt;boost/graph/labeled_graph.hpp&gt;
#include &lt;boost/graph"
2359300,"Title: wxPython change field on tab | Body: I apologize for a simple question, but I did not see this in the tutorials.

I have a very simple gui, but I would like the user to be able to press the TAB key and have it move from one input field to another.  I am using wxPython with Python 2.6.
"
11985680,"Title: Jackson equivalent to @XmlSeeAlso | Body: I am writing a RESTful web service using Java and Jersey, where the service will accept either XML or JSON inputs. Jackson is used as the JSON deserializer, and integrated into the Jersey config.

One of the endpoints is a POST request to a URL, where the content can be one of several different Java"
2457320,"Title: Checklist for good email delivery in php | Body: I have a PHP application that sends email using the pear Mail function. Unfortunately all my emails end up in the junk folder.

Can i get a checklist for things i should do to make sure my emails are recieved correctly.

Thank you
"
