question_id,question_text
32774910,"Title: Clean way to read a null-terminated (C-style) string from a file? | Body: I'm looking for a clean and simple way to read a null-terminated C string from a file or file-like object in Python. In a way that doesn't consume more input from the file than it needs, or pushes it back onto whatever file/buffer it works with such that other code can read the data immediately afte"
12502080,"Title: Facebook Graph API JSON result has Page Next, despite no more data | Body: I am wondering if this is a Facebook bug or something that I am doing wrong. Anyways, I am developing a server application that talks to my own simple Facebook app via Graph API calls. For development purposes, the only users of the Facebook app are a few Test Users that I have defined. In this scen"
12521830,"Title: Optimizing ""this"" type of loop | Body: I'm currently (and have in the past been) using this loop to look through an array of custom classes and make sure that a boolean member value of each class in the array is equal. Is there a better (more efficient, simpler to code perhaps) way to do this?

Since that explanation is pretty bad and fo"
5364520,"Title: Get Method Name From Action | Body: Is it possible to get a method name from an action?  I know I could always pass a string, but I was hoping for something a little more clever.

    public bool DeviceCommand(Action apiCall)
    {
        //It would be nice to log the method name that was passed in
        try
        {
            a"
12974940,"Title: Adding an attribute to a file using c# | Body: I am trying to build an app that synchronizes files on my computer with files on my webserver. In my current situation my app watches a series of paths that contain files to sync. The problem with this solution is that when I locally rename a file, it no longer matches any of the paths and gets uplo"
30428080,"Title: Android smart power management using sensor data | Body: I'm working on an Android application that needs to scan nearby Wi-Fi access points on a regular basis. Currently the scan takes place every 2-3 minutes, which requires registering a BroadcastReceiver to capture the scan results, calling WifiManager's startScan method and processing the results (som"
35370410,"Title: SSL/conceptual aspects of sharing a object via pythons DataProcess Object remotely | Body: Hello fellow inhabitants of the stackspace!
I want to learn/elaborate on serving objects by remote shared object method

class ContainerFS():
    #contains stuffs, has its methods
    def sync(self):
         pass
    def dump(self):
         stuff()

class DataManager(BaseManager):
    def get_data"
15772920,"Title: Firefox exception 'JavaScript component does not have a method named: ""available""' | Body: I'm building a web app with Django. I have a bunch of API calls in Javascript via Ajax (jQuery v1.8.3).

Most of them work, but a particular one results in a return object with status 0 and this message as the statusText:

[Exception... ""'JavaScript component does not have a method named: ""available"
9414090,"Title: Issue with jdbcTemplate.batchUpdate() for large list of queries | Body: I am facing an issue with JdbcTemplate.batchUpdate(String[] queries) method when processing bulk of queries.

The statement is getting executed without any exception but updation is not reflected in database. We are using sybase. The size of list of queries is around 7000+.

Have anyone faced simila"
11956800,"Title: Does the getID() always return a constant value? | Body: For my Android project, I am using the getID() method to retrieve the numeric value for a View and store this value in my database.  I am banking that this getID() method for a particular View will always return the same constant value over multiple executions in a production environment and over su"
16571060,"Title: strtok() issue: If tokens are delimited by delimiters,why is last token between a delimiter and the null '\0'? | Body: In the following program, strtok() works as expected in the major part but I just can't comprehend the reason behind one finding.  I have read about strtok() that:


  
    To determine the beginning and the end of a token, the function first scans from the starting location for the first character "
27110040,"Title: slidetoggle not removing when page size changes | Body: Hi all i have got my repsonsive menu working at mobile level.

when the website changes size the slideToggle does not get removed and I am not sure how to make this happen.

$("".click"").click(function () 
$('#menu').slideToggle(""veryslow""); });`

"
615040,"Title: Writing a mini-language | Body: I have an application that needs to allow users to write expressions similar to excel:

(H1 + (D1 / C3)) * I8

and more complex things like 

If(H1 = 'True', D3 * .2, D3 * .5)

I can only do so much with regular expressions. Any suggestions as to the right approach to doing this as well as any resou"
25848640,"Title: How to capture input's type = 'text' clear event? | Body: &lt;input type='text' onchange=""reportAnswer(1, this.value);"" onkeyup=""this.onchange();"" onpaste=""this.onchange();"" oncut=""this.onchange();"" onclear = ""this.onchange();"" /&gt;



How to capture that change? This is IE11.

P.S. I added onclear handler because run out of ideas what to do.
"
38570670,"Title: Conditionally rename the value depending on the previous row | Body: I have a data frame df:  

Event       Code
Picture     no$
Picture     value
Picture     $
Picture     value
Picture     no$
Picture     value
Picture     no$
Picture     value
Picture     $
Picture     value


I want to rename value to reward or no_reward depending on the previous row. If it's $ t"
14740150,"Title: OSX Dashboard Widget File URI | Body: I'm trying to update a dashboard widget that has stopped working, I think with the upgrade to either Lion or Mountain Lion.

The widget has a drop zone for dropping files onto, which then uploads them to a web service.

However, my ondrop event handler is returning an empty string for the text/uri-l"
10682430,"Title: .net synthesizer | Body: I'm looking for a synthesizer that I can integrate with my .NET application. Is there any .NET synthesizers available out there? Is there a way of integrating VST-plugins into your .NET application?

I want to create sounds based on MIDI-input, preferably sounds that are more appealing than sine/squ"
6769740,"Title: MySQL: Finding duplicates across multiple fields | Body: Background: my employer has a database powered by a really old version of MySQL (3.23). I have been asked to find duplicate serial numbers and MAC addresses in the database.

I was able to find the duplicate serial numbers, but since this version of MySQL doesn't support subqueries, I had to resort "
35235300,"Title: Git - Does a remote branch need to be pulled local to merge? | Body: I have a local branch on which I committed some changes. I would then like to pull the changes that have been added to the parent branch by other developers. Do I need to pull down the parent branch locally before doing the merge?

I thought I had been bringing down changes made by other developers "
2625150,"Title: Membership Generate Password alphanumeric only password? | Body: How can I use Membership.GeneratePassword to return a password that ONLY contains alpha or numeric characters? The default method will only guarantee a minimum and not a maximum number of non alphanumeric passwords.
"
27001200,"Title: Project ""MyProject"" has higher compiler option than running Eclipse | Body: I am trying to rebuild Hibernate configuration but i got Wrong Compiler Settings error, please find below screenshots of my App configuration and a of the error:






"
32143210,"Title: How to redirect HTTPS requests to HTTP without a certificate (Apache VirtualHosts) | Body: I am hosting a couple of seperate websites on one apache server:

site.com
example.com

site.com redirects all users to HTTPS from within the application.

example.com is a non HTTPS website and HTTPS requests are redirects to HTTP

In order for accidental requests for https://example.com instead of"
36961710,"Title: Looking for one or two Node modules related to locking and update scheduling | Body: Some people are going to think this is too trivial to look for modules or almost put it in a leftPad category perhaps, but there are so many things in npm I have a feeling these two requirements are covered and so am interested to see what other people have done.
I inherited this codebase that has t"
6284440,"Title: Is there a way to avoid the subqueries with a query has three subqueries | Body: I have this query and it works great (not sure) about performance

SELECT ssp.product_id, p.price
FROM system_step_product AS ssp
JOIN product AS p ON p.product_id=ssp.product_id 
WHERE ssp.system_id = 14
AND ssp.step_number = (
  SELECT step_number
  FROM system_step_product
  WHERE system_id = '14"
33688020,"Title: Configuring Apache Tomcat 7.0 to reject connections with expired client certificates | Body: Consider Apache Tomcat 7.0 configured to do client authentification (with connector's parameter clientAuth set to true).

It appears, that Tomcat trusts to expired client certificates by default, which are in its trusted store (allow them successfully do authentification).

Is it possible to configu"
23291030,"Title: Optimize ms sql select query for huge DB | Body: My query is 

SELECT DISTINCT
    Company.Name,
    Customer.FirmID,
    Customer.ID,
    Customer.ExtendedId,
    (CustomerExtended.FirstName + ' ' + CustomerExtended.LastName) as ""Customer Name""

FROM
    Company,
    Customer,
    CustomerExtended

WHERE
    (Customer.ExtendedId = 1) OR
    (Cust"
30614560,"Title: Crawling dynamic content with scrapy | Body: I am trying to get latest review form google play store. I am following this question for getting the latest reviews here

Method specified in the above link's answer works fine with scrapy shell but when I try this in my crawler it gets completely ignored. 

Code snippet:

import re
import sys
impo"
1354070,"Title: How to Insert row between two rows and give it priority in database? | Body: i have a stack of messages in database table.
i want to send these messages by their priority so i added ""Priority"" column to ""messages"" table.

but what if i want to insert ""cram"" message between two messages and give the previous priority to this new message?.

Should i update all messages priorit"
9560620,"Title: Make Previous/Next buttons work on checkboxes on iOS | Body: On iOS when filling out a form on a webpage there are Next and Previous buttons on the keyboard that act like the tab key on a real keyboard.  We have a web application, which I've implemented as an app using PhoneGap, and the Next and Previous buttons skip past checkboxes as if they are not there.
"
