concept_id,concept_name
T-0,python
T-1,database
T-2,.net
T-3,linux
T-4,multithreading
T-5,c++
T-6,sql-server
T-7,c#
T-8,java
T-9,html
T-10,django
T-11,ruby-on-rails
T-12,asp.net
T-13,regex
T-14,javascript
T-15,xml
T-16,jquery
T-17,wpf
T-18,iphone
T-19,objective-c
T-20,php
T-21,android
T-22,eclipse
T-23,asp.net-mvc
T-24,mysql
T-25,xcode
T-26,osx
T-27,sql
T-28,css
T-29,windows
T-30,c
T-31,ruby
T-32,spring
T-33,ios
T-34,arrays
T-35,json
T-36,r
T-37,node.js
T-38,image
T-39,performance
T-40,scala
T-41,algorithm
T-42,ajax
T-43,facebook
T-44,angularjs
T-45,bash
T-46,string
T-47,swift
T-48,git
T-49,html5
T-50,winforms
T-51,unit-testing
T-52,swing
T-53,matlab
T-54,mongodb
T-55,apache
T-56,oracle
T-57,entity-framework
T-58,css3
T-59,hibernate
T-60,linq
T-61,vb.net
T-62,visual-studio
T-63,excel
T-64,wcf
T-65,sqlite
T-66,http
T-67,laravel
T-68,google-app-engine
T-69,vba
T-70,inheritance
T-71,file
T-72,cordova
T-73,oop
T-74,security
T-75,templates
T-76,list
T-77,date
T-78,perl
T-79,xslt
T-80,tsql
T-81,boost
T-82,datetime
T-83,twitter-bootstrap
T-84,reactjs
T-85,ssl
T-86,tomcat
T-87,sockets
T-88,maven
T-89,wordpress
T-90,lambda
T-91,xpath
T-92,session
T-93,validation
T-94,.htaccess
T-95,magento
T-96,ipad
T-97,memory
T-98,shell
T-99,haskell
