Run_ID,Embedding,K_Clusters,Filter_Threshold,Block_Size,Avg_Purity_%,Dropped_Clusters,TPs_Lost_to_Filter,Percent_TPs_Lost,Recall,Precision,F1,Total_Tokens,Total_Time_s
1,distilbert-base-uncased-finetuned-sst-2-english,2,0.0,10,73.0,0,0,0.0,6.56,76.92,12.08,64638,75.15
2,distilbert-base-uncased-finetuned-sst-2-english,2,0.0,20,73.0,0,0,0.0,4.26,91.23,8.14,42055,37.81
3,distilbert-base-uncased-finetuned-sst-2-english,2,0.15,10,73.0,0,0,0.0,7.54,88.46,13.9,64638,72.76
4,distilbert-base-uncased-finetuned-sst-2-english,2,0.15,20,73.0,0,0,0.0,5.33,82.28,10.01,42273,41.06
5,distilbert-base-uncased-finetuned-sst-2-english,2,0.25,10,73.0,0,0,0.0,7.21,87.13,13.32,64624,69.32
6,distilbert-base-uncased-finetuned-sst-2-english,2,0.25,20,73.0,0,0,0.0,5.0,87.14,9.46,42279,43.88
7,distilbert-base-uncased-finetuned-sst-2-english,5,0.0,10,75.0,0,0,0.0,3.85,74.6,7.33,55900,51.13
8,distilbert-base-uncased-finetuned-sst-2-english,5,0.0,20,75.0,0,0,0.0,4.59,81.16,8.69,53171,49.14
9,distilbert-base-uncased-finetuned-sst-2-english,5,0.15,10,75.0,0,0,0.0,3.44,72.41,6.57,55878,52.22
10,distilbert-base-uncased-finetuned-sst-2-english,5,0.15,20,75.0,0,0,0.0,3.36,73.21,6.43,53106,61.25
11,distilbert-base-uncased-finetuned-sst-2-english,5,0.25,10,75.0,0,0,0.0,3.52,72.88,6.72,55886,50.7
12,distilbert-base-uncased-finetuned-sst-2-english,5,0.25,20,75.0,0,0,0.0,3.36,66.13,6.4,53127,43.86
13,all-mpnet-base-v2,2,0.0,10,60.0,0,0,0.0,11.07,86.54,19.62,53587,62.76
14,all-mpnet-base-v2,2,0.0,20,60.0,0,0,0.0,8.77,91.45,16.01,30439,35.88
15,all-mpnet-base-v2,2,0.15,10,60.0,0,0,0.0,11.48,89.17,20.33,53595,60.1
16,all-mpnet-base-v2,2,0.15,20,60.0,0,0,0.0,8.93,90.83,16.27,30444,38.34
17,all-mpnet-base-v2,2,0.25,10,60.0,0,0,0.0,10.08,89.78,18.13,53502,71.54
18,all-mpnet-base-v2,2,0.25,20,60.0,0,0,0.0,8.44,91.15,15.45,30418,42.64
19,all-mpnet-base-v2,5,0.0,10,63.0,0,0,0.0,9.75,80.95,17.41,65978,90.24
20,all-mpnet-base-v2,5,0.0,20,63.0,0,0,0.0,6.97,87.63,12.91,53283,79.62
21,all-mpnet-base-v2,5,0.15,10,63.0,0,0,0.0,10.16,80.0,18.04,66016,100.95
22,all-mpnet-base-v2,5,0.15,20,63.0,0,0,0.0,7.62,87.74,14.03,53335,91.02
23,all-mpnet-base-v2,5,0.25,10,63.0,0,0,0.0,9.51,80.56,17.01,65873,106.93
24,all-mpnet-base-v2,5,0.25,20,63.0,0,0,0.0,7.46,87.5,13.75,53315,69.27
