Subgroup,Ratio,Threshold,Kept Pairs,Dropped Pairs,Recall (%),Precision (%),F1 (%),Total Tokens,Cost ($)
stackoverflow_250x10_projection,0.025,0.0,12,0,62.91,75.55,68.65,104083,0.3174
stackoverflow_250x10_projection,0.025,0.01,8,4,62.91,76.21,68.92,85000,0.2615
stackoverflow_250x10_projection,0.025,0.02,8,4,62.91,76.21,68.92,85000,0.2615
stackoverflow_250x10_projection,0.025,0.03,8,4,62.91,76.21,68.92,85000,0.2615
stackoverflow_250x10_projection,0.025,0.04,8,4,62.91,76.21,68.92,85000,0.2615
stackoverflow_250x10_projection,0.025,0.05,7,5,52.73,73.6,61.44,81091,0.2492
stackoverflow_250x10_projection,0.025,0.06,7,5,52.73,73.6,61.44,81091,0.2492
stackoverflow_250x10_projection,0.025,0.07,7,5,52.73,73.6,61.44,81091,0.2492
stackoverflow_250x10_projection,0.025,0.08,7,5,52.73,73.6,61.44,81091,0.2492
stackoverflow_250x10_projection,0.025,0.09,5,7,30.91,77.27,44.16,69064,0.211
stackoverflow_250x10_projection,0.025,0.1,5,7,30.91,77.27,44.16,69064,0.211
stackoverflow_250x10_projection,0.025,0.11,5,7,30.91,77.27,44.16,69064,0.211
stackoverflow_250x10_projection,0.025,0.12,5,7,30.91,77.27,44.16,69064,0.211
stackoverflow_250x10_projection,0.025,0.13,3,9,8.73,75.0,15.64,54588,0.1661
stackoverflow_250x10_projection,0.025,0.14,3,9,8.73,75.0,15.64,54588,0.1661
stackoverflow_250x10_projection,0.025,0.15,3,9,8.73,75.0,15.64,54588,0.1661
stackoverflow_250x10_projection,0.025,0.16,3,9,8.73,75.0,15.64,54588,0.1661
stackoverflow_250x10_projection,0.025,0.17,3,9,8.73,75.0,15.64,54588,0.1661
stackoverflow_250x10_projection,0.025,0.18,3,9,8.73,75.0,15.64,54588,0.1661
stackoverflow_250x10_projection,0.025,0.19,3,9,8.73,75.0,15.64,54588,0.1661
stackoverflow_250x10_projection,0.025,0.2,3,9,8.73,75.0,15.64,54588,0.1661
stackoverflow_250x10_projection,0.025,0.21,1,11,2.55,77.78,4.93,43789,0.134
stackoverflow_250x10_projection,0.025,0.22,1,11,2.55,77.78,4.93,43789,0.134
stackoverflow_250x10_projection,0.025,0.23,1,11,2.55,77.78,4.93,43789,0.134
stackoverflow_250x10_projection,0.025,0.24,1,11,2.55,77.78,4.93,43789,0.134
stackoverflow_250x10_projection,0.025,0.25,1,11,2.55,77.78,4.93,43789,0.134
stackoverflow_250x10_projection,0.025,0.26,1,11,2.55,77.78,4.93,43789,0.134
stackoverflow_250x10_projection,0.025,0.27,1,11,2.55,77.78,4.93,43789,0.134
stackoverflow_250x10_projection,0.025,0.28,1,11,2.55,77.78,4.93,43789,0.134
stackoverflow_250x10_projection,0.025,0.29,1,11,2.55,77.78,4.93,43789,0.134
stackoverflow_250x10_projection,0.025,0.3,1,11,2.55,77.78,4.93,43789,0.134
stackoverflow_250x10_projection,0.025,0.31,1,11,2.55,77.78,4.93,43789,0.134
stackoverflow_250x10_projection,0.025,0.32,1,11,2.55,77.78,4.93,43789,0.134
stackoverflow_250x10_projection,0.025,0.33,1,11,2.55,77.78,4.93,43789,0.134
stackoverflow_250x10_projection,0.025,0.34,1,11,2.55,77.78,4.93,43789,0.134
stackoverflow_250x10_projection,0.025,0.35,1,11,2.55,77.78,4.93,43789,0.134
stackoverflow_250x10_projection,0.025,0.36,1,11,2.55,77.78,4.93,43789,0.134
stackoverflow_250x10_projection,0.025,0.37,1,11,2.55,77.78,4.93,43789,0.134
stackoverflow_250x10_projection,0.025,0.38,1,11,2.55,77.78,4.93,43789,0.134
