Table_A_ID,Table_B_ID
A-0,B-0
A-6,B-3
A-18,B-18
A-27,B-8
A-31,B-17
A-44,B-53
A-49,B-71
A-51,B-77
A-53,B-91
A-65,B-84
A-86,B-91
A-95,B-71
A-97,B-20
A-2,B-1
A-8,B-4
A-10,B-2
A-12,B-12
A-13,B-44
A-14,B-29
A-20,B-58
A-30,B-33
A-32,B-68
A-34,B-36
A-39,B-46
A-42,B-54
A-43,B-89
A-56,B-58
A-58,B-74
A-59,B-97
A-60,B-89
A-63,B-75
A-67,B-89
A-68,B-76
A-69,B-87
A-70,B-37
A-71,B-76
A-73,B-33
A-78,B-79
A-79,B-79
A-80,B-58
A-81,B-89
A-85,B-74
A-87,B-76
A-88,B-89
A-90,B-29
A-92,B-89
A-93,B-58
A-94,B-74
A-0,B-23
A-6,B-23
A-18,B-23
A-27,B-23
A-44,B-23
A-49,B-23
A-51,B-23
A-53,B-23
A-65,B-23
A-86,B-23
A-95,B-23
A-1,B-0
A-3,B-0
A-4,B-0
A-5,B-0
A-11,B-0
A-25,B-0
A-45,B-0
A-48,B-0
A-55,B-0
A-96,B-0
A-98,B-0
A-99,B-0
A-1,B-8
A-3,B-8
A-4,B-8
A-5,B-8
A-11,B-8
A-25,B-8
A-45,B-8
A-48,B-8
A-55,B-8
A-96,B-8
A-98,B-8
A-99,B-8
A-1,B-22
A-3,B-22
A-4,B-22
A-5,B-22
A-11,B-22
A-25,B-22
A-45,B-22
A-48,B-22
A-55,B-22
A-96,B-22
A-98,B-22
A-99,B-22
A-1,B-26
A-3,B-26
A-4,B-26
A-5,B-26
A-11,B-26
A-25,B-26
A-45,B-26
A-48,B-26
A-55,B-26
A-96,B-26
A-98,B-26
A-99,B-26
A-1,B-31
A-3,B-31
A-4,B-31
A-5,B-31
A-11,B-31
A-25,B-31
A-45,B-31
A-48,B-31
A-55,B-31
A-96,B-31
A-98,B-31
A-99,B-31
A-1,B-32
A-3,B-32
A-4,B-32
A-5,B-32
A-11,B-32
A-25,B-32
A-45,B-32
A-48,B-32
A-55,B-32
A-96,B-32
A-98,B-32
A-99,B-32
A-1,B-34
A-3,B-34
A-4,B-34
A-5,B-34
A-11,B-34
A-25,B-34
A-45,B-34
A-48,B-34
A-55,B-34
A-96,B-34
A-98,B-34
A-99,B-34
A-1,B-41
A-3,B-41
A-4,B-41
A-5,B-41
A-11,B-41
A-25,B-41
A-45,B-41
A-48,B-41
A-55,B-41
A-96,B-41
A-98,B-41
A-99,B-41
A-1,B-45
A-3,B-45
A-4,B-45
A-5,B-45
A-11,B-45
A-25,B-45
A-45,B-45
A-48,B-45
A-55,B-45
A-96,B-45
A-98,B-45
A-99,B-45
A-1,B-53
A-3,B-53
A-4,B-53
A-5,B-53
A-11,B-53
A-25,B-53
A-45,B-53
A-48,B-53
A-55,B-53
A-96,B-53
A-98,B-53
A-99,B-53
A-1,B-56
A-3,B-56
A-4,B-56
A-5,B-56
A-11,B-56
A-25,B-56
A-45,B-56
A-48,B-56
A-55,B-56
A-96,B-56
A-98,B-56
A-99,B-56
A-1,B-60
A-3,B-60
A-4,B-60
A-5,B-60
A-11,B-60
A-25,B-60
A-45,B-60
A-48,B-60
A-55,B-60
A-96,B-60
A-98,B-60
A-99,B-60
A-1,B-71
A-3,B-71
A-4,B-71
A-5,B-71
A-11,B-71
A-25,B-71
A-45,B-71
A-48,B-71
A-55,B-71
A-96,B-71
A-98,B-71
A-99,B-71
A-1,B-77
A-3,B-77
A-4,B-77
A-5,B-77
A-11,B-77
A-25,B-77
A-45,B-77
A-48,B-77
A-55,B-77
A-96,B-77
A-98,B-77
A-99,B-77
A-1,B-82
A-3,B-82
A-4,B-82
A-5,B-82
A-11,B-82
A-25,B-82
A-45,B-82
A-48,B-82
A-55,B-82
A-96,B-82
A-98,B-82
A-99,B-82
A-1,B-85
A-3,B-85
A-4,B-85
A-5,B-85
A-11,B-85
A-25,B-85
A-45,B-85
A-48,B-85
A-55,B-85
A-96,B-85
A-98,B-85
A-99,B-85
A-1,B-91
A-3,B-91
A-4,B-91
A-5,B-91
A-11,B-91
A-25,B-91
A-45,B-91
A-48,B-91
A-55,B-91
A-96,B-91
A-98,B-91
A-99,B-91
A-1,B-50
A-3,B-50
A-4,B-50
A-5,B-50
A-11,B-50
A-25,B-50
A-45,B-50
A-48,B-50
A-55,B-50
A-96,B-50
A-98,B-50
A-99,B-50
A-9,B-7
A-9,B-9
A-9,B-14
A-9,B-16
A-9,B-19
A-9,B-21
A-9,B-24
A-9,B-25
A-9,B-30
A-9,B-38
A-9,B-39
A-9,B-40
A-9,B-43
A-9,B-47
A-9,B-49
A-9,B-52
A-9,B-59
A-9,B-61
A-9,B-65
A-9,B-66
A-9,B-67
A-9,B-69
A-9,B-70
A-9,B-72
A-9,B-73
A-9,B-78
A-9,B-81
A-9,B-83
A-9,B-86
A-9,B-88
A-9,B-92
A-9,B-93
A-9,B-94
A-9,B-95
A-9,B-98
A-16,B-7
A-16,B-9
A-16,B-14
A-16,B-16
A-16,B-19
A-16,B-21
A-16,B-24
A-16,B-25
A-16,B-30
A-16,B-38
A-16,B-39
A-16,B-40
A-16,B-43
A-16,B-47
A-16,B-49
A-16,B-52
A-16,B-59
A-16,B-61
A-16,B-65
A-16,B-66
A-16,B-67
A-16,B-69
A-16,B-70
A-16,B-72
A-16,B-73
A-16,B-78
A-16,B-81
A-16,B-83
A-16,B-86
A-16,B-88
A-16,B-92
A-16,B-93
A-16,B-94
A-16,B-95
A-16,B-98
A-19,B-7
A-19,B-9
A-19,B-14
A-19,B-16
A-19,B-19
A-19,B-21
A-19,B-24
A-19,B-25
A-19,B-30
A-19,B-38
A-19,B-39
A-19,B-40
A-19,B-43
A-19,B-47
A-19,B-49
A-19,B-52
A-19,B-59
A-19,B-61
A-19,B-65
A-19,B-66
A-19,B-67
A-19,B-69
A-19,B-70
A-19,B-72
A-19,B-73
A-19,B-78
A-19,B-81
A-19,B-83
A-19,B-86
A-19,B-88
A-19,B-92
A-19,B-93
A-19,B-94
A-19,B-95
A-19,B-98
A-21,B-7
A-21,B-9
A-21,B-14
A-21,B-16
A-21,B-19
A-21,B-21
A-21,B-24
A-21,B-25
A-21,B-30
A-21,B-38
A-21,B-39
A-21,B-40
A-21,B-43
A-21,B-47
A-21,B-49
A-21,B-52
A-21,B-59
A-21,B-61
A-21,B-65
A-21,B-66
A-21,B-67
A-21,B-69
A-21,B-70
A-21,B-72
A-21,B-73
A-21,B-78
A-21,B-81
A-21,B-83
A-21,B-86
A-21,B-88
A-21,B-92
A-21,B-93
A-21,B-94
A-21,B-95
A-21,B-98
A-23,B-7
A-23,B-9
A-23,B-14
A-23,B-16
A-23,B-19
A-23,B-21
A-23,B-24
A-23,B-25
A-23,B-30
A-23,B-38
A-23,B-39
A-23,B-40
A-23,B-43
A-23,B-47
A-23,B-49
A-23,B-52
A-23,B-59
A-23,B-61
A-23,B-65
A-23,B-66
A-23,B-67
A-23,B-69
A-23,B-70
A-23,B-72
A-23,B-73
A-23,B-78
A-23,B-81
A-23,B-83
A-23,B-86
A-23,B-88
A-23,B-92
A-23,B-93
A-23,B-94
A-23,B-95
A-23,B-98
A-24,B-7
A-24,B-9
A-24,B-14
A-24,B-16
