Table_A_ID,Table_B_ID
A-0,B-5
A-3,B-5
A-6,B-5
A-11,B-5
A-17,B-5
A-18,B-5
A-27,B-5
A-40,B-5
A-41,B-5
A-44,B-5
A-49,B-5
A-0,B-49
A-3,B-49
A-6,B-49
A-11,B-49
A-17,B-49
A-18,B-49
A-27,B-49
A-40,B-49
A-41,B-49
A-44,B-49
A-49,B-49
A-2,B-2
A-2,B-4
A-2,B-41
A-8,B-2
A-8,B-4
A-8,B-41
A-10,B-2
A-10,B-4
A-10,B-41
A-12,B-2
A-12,B-4
A-12,B-41
A-13,B-2
A-13,B-4
A-13,B-41
A-14,B-2
A-14,B-4
A-14,B-41
A-20,B-2
A-20,B-4
A-20,B-41
A-34,B-2
A-34,B-4
A-34,B-41
A-38,B-2
A-38,B-4
A-38,B-41
A-42,B-2
A-42,B-4
A-42,B-41
A-43,B-2
A-43,B-4
A-43,B-41
A-1,B-1
A-1,B-3
A-1,B-15
A-1,B-32
A-46,B-6
A-46,B-8
A-46,B-11
A-46,B-13
A-46,B-23
A-46,B-27
A-46,B-37
A-46,B-38
A-1,B-16
A-1,B-36
A-1,B-45
A-46,B-16
A-46,B-36
A-46,B-45
A-1,B-24
A-1,B-46
A-19,B-1
A-19,B-3
A-19,B-15
A-19,B-32
A-25,B-1
A-25,B-3
A-25,B-15
A-25,B-32
A-45,B-1
A-45,B-3
A-45,B-15
A-45,B-32
A-29,B-6
A-29,B-8
A-29,B-11
A-29,B-23
A-29,B-27
A-29,B-37
A-19,B-16
A-19,B-36
A-19,B-45
A-25,B-16
A-25,B-36
A-25,B-45
A-45,B-16
A-45,B-36
A-45,B-45
A-29,B-9
A-29,B-10
A-29,B-17
A-29,B-18
A-29,B-21
A-29,B-31
A-29,B-39
A-19,B-24
A-19,B-46
A-25,B-24
A-25,B-46
A-45,B-24
A-45,B-46
