question_id,concept_id
26690360,T-8
29245710,T-0
10314070,T-8
31584230,T-8
17366490,T-8
10010430,T-9
20373460,T-7
7875850,T-8
30160340,T-8
23745130,T-5
18189840,T-7
19867580,T-0
4210270,T-1
35066040,T-9
12158810,T-8
16855780,T-5
7845470,T-7
4877260,T-7
32551300,T-9
39312530,T-0
25485250,T-7
14350200,T-8
10000790,T-3
15622930,T-0
15622930,T-4
21055210,T-7
10734080,T-5
31846240,T-8
568320,T-0
4818270,T-2
29776850,T-5
13958950,T-8
33287490,T-0
8510830,T-0
8510830,T-4
4637180,T-7
9809210,T-2
9809210,T-7
16016060,T-0
4348520,T-7
4348520,T-9
29196460,T-5
27252350,T-5
11390850,T-5
15933780,T-9
37287590,T-5
7837270,T-7
24049000,T-6
24049000,T-7
19786450,T-8
9573010,T-0
32526760,T-9
17367420,T-7
14046830,T-7
17125720,T-7
39855330,T-8
23272890,T-6
15801640,T-8
27048750,T-0
16000380,T-0
32679030,T-4
5654830,T-6
23417490,T-8
29926320,T-8
6066200,T-7
33116730,T-0
13239350,T-5
29494450,T-8
2298290,T-8
10516140,T-7
18447380,T-1
9559520,T-1
911780,T-8
9566770,T-5
26394490,T-5
32970220,T-2
32970220,T-7
3263140,T-9
211480,T-8
39553860,T-9
29848320,T-5
7687490,T-0
7687490,T-9
22033660,T-8
7905010,T-5
6647080,T-0
10377950,T-5
24156560,T-8
2968270,T-2
34220730,T-5
10442470,T-8
35218080,T-8
5111040,T-3
844050,T-2
844050,T-7
13651090,T-0
15122750,T-0
21324120,T-7
20991530,T-0
17801180,T-7
1412040,T-1
30772860,T-7
22275370,T-1
5304360,T-0
12515780,T-7
12896480,T-7
30603740,T-4
30603740,T-8
14347280,T-7
30808780,T-8
29415880,T-9
10658920,T-0
38009300,T-8
3140690,T-9
6415620,T-2
6415620,T-7
34266860,T-5
36617780,T-9
29941730,T-8
1312930,T-2
20940350,T-6
33321560,T-9
11329420,T-2
11329420,T-8
35059240,T-3
31736220,T-8
8524790,T-7
8294710,T-8
13520350,T-9
19533830,T-5
20278790,T-8
5930150,T-5
4724950,T-9
10060050,T-2
10060050,T-7
39832670,T-0
4325620,T-7
17210740,T-2
17210740,T-7
33616140,T-8
9358340,T-1
13939620,T-5
26468710,T-7
23431940,T-7
2357160,T-7
12893590,T-7
6051960,T-8
29798130,T-8
37391130,T-8
13993820,T-7
22154140,T-9
16360910,T-0
574280,T-7
4960880,T-0
12001060,T-9
14688510,T-0
11097170,T-4
11097170,T-5
12747650,T-1
12747650,T-9
15046170,T-0
36615010,T-4
36615010,T-5
27136950,T-2
11288050,T-3
22879670,T-5
18178990,T-7
32434240,T-0
32434240,T-4
31455890,T-6
1196560,T-8
38720170,T-1
38720170,T-6
25049480,T-7
18222180,T-9
16937030,T-8
35916680,T-0
13764730,T-0
13764730,T-7
38170190,T-3
38170190,T-5
12775390,T-9
35993690,T-5
5057170,T-7
39184930,T-5
30874370,T-0
22582760,T-3
7507320,T-8
38549090,T-9
28666880,T-8
1609460,T-0
29749330,T-9
28750580,T-2
6870180,T-8
26216020,T-7
21019630,T-8
16023890,T-7
10888960,T-8
33065600,T-8
11514640,T-7
32609640,T-0
3375810,T-8
1068530,T-3
17427410,T-8
19630640,T-2
7827250,T-7
22497650,T-9
18435370,T-9
28463350,T-5
8221220,T-8
3164260,T-8
16048260,T-7
27146090,T-2
31969060,T-0
26915090,T-9
17843630,T-0
7679020,T-8
30604270,T-9
6318170,T-0
37509610,T-7
21016540,T-9
2706630,T-8
34134540,T-6
6214110,T-8
34332520,T-8
29230650,T-0
4430840,T-2
4825400,T-5
20061320,T-2
20061320,T-7
31296820,T-8
28897010,T-0
36632870,T-6
36632870,T-7
12099980,T-8
9727090,T-6
21681300,T-5
4178910,T-5
5228030,T-7
3119870,T-8
6234040,T-5
5398630,T-2
19158720,T-8
30648860,T-0
29252790,T-8
1938750,T-5
26881400,T-8
15488150,T-8
17882090,T-8
23124620,T-8
26561720,T-5
25014110,T-2
25014110,T-7
19402700,T-7
18411090,T-0
4543310,T-8
12220630,T-9
36521580,T-8
25253890,T-7
9380510,T-8
7225170,T-4
7225170,T-7
25360600,T-8
26410290,T-8
14305880,T-8
29073990,T-8
6648520,T-5
21069340,T-8
5905110,T-2
5905110,T-5
7121870,T-9
18549530,T-9
3830000,T-0
23267620,T-7
24746170,T-7
