name,review,month_idx
Linda,Linda: I first heard about the losses in April 2022.,3
Patricia,Patricia: I first heard about the losses in March 2022.,2
Michael,Michael: I first heard about the losses in April 2022.,3
James,James: I first heard about the losses in May 2022.,4
Jennifer,Jennifer: I first heard about the losses in May 2022.,4
Patricia,Patricia: I first heard about the losses in March 2022.,2
James,James: I first heard about the losses in March 2022.,2
James,James: I first heard about the losses in May 2022.,4
Michael,Michael: I first heard about the losses in June 2022.,5
Jennifer,Jennifer: I first heard about the losses in March 2022.,2
James,James: I first heard about the losses in May 2022.,4
Mary,Mary: I first heard about the losses in June 2022.,5
Michael,Michael: I first heard about the losses in April 2022.,3
David,David: I first heard about the losses in May 2022.,4
James,James: I first heard about the losses in June 2022.,5
Mary,Mary: I first heard about the losses in March 2022.,2
Patricia,Patricia: I first heard about the losses in April 2022.,3
Robert,Robert: I first heard about the losses in April 2022.,3
Elizabeth,Elizabeth: I first heard about the losses in June 2022.,5
David,David: I first heard about the losses in April 2022.,3
Mary,Mary: I first heard about the losses in March 2022.,2
James,James: I first heard about the losses in May 2022.,4
Robert,Robert: I first heard about the losses in May 2022.,4
Robert,Robert: I first heard about the losses in June 2022.,5
Mary,Mary: I first heard about the losses in May 2022.,4
Michael,Michael: I first heard about the losses in June 2022.,5
John,John: I first heard about the losses in March 2022.,2
David,David: I first heard about the losses in June 2022.,5
James,James: I first heard about the losses in June 2022.,5
Robert,Robert: I first heard about the losses in March 2022.,2
James,James: I first heard about the losses in March 2022.,2
David,David: I first heard about the losses in June 2022.,5
Robert,Robert: I first heard about the losses in June 2022.,5
Michael,Michael: I first heard about the losses in March 2022.,2
James,James: I first heard about the losses in June 2022.,5
Patricia,Patricia: I first heard about the losses in April 2022.,3
David,David: I first heard about the losses in April 2022.,3
Michael,Michael: I first heard about the losses in March 2022.,2
James,James: I first heard about the losses in June 2022.,5
Robert,Robert: I first heard about the losses in April 2022.,3
David,David: I first heard about the losses in June 2022.,5
Patricia,Patricia: I first heard about the losses in May 2022.,4
Jennifer,Jennifer: I first heard about the losses in March 2022.,2
John,John: I first heard about the losses in May 2022.,4
Jennifer,Jennifer: I first heard about the losses in March 2022.,2
Mary,Mary: I first heard about the losses in March 2022.,2
Mary,Mary: I first heard about the losses in April 2022.,3
Mary,Mary: I first heard about the losses in April 2022.,3
Elizabeth,Elizabeth: I first heard about the losses in June 2022.,5
Michael,Michael: I first heard about the losses in June 2022.,5
Robert,Robert: I first heard about the losses in May 2022.,4
Linda,Linda: I first heard about the losses in April 2022.,3
Elizabeth,Elizabeth: I first heard about the losses in April 2022.,3
Patricia,Patricia: I first heard about the losses in April 2022.,3
David,David: I first heard about the losses in April 2022.,3
Robert,Robert: I first heard about the losses in June 2022.,5
Elizabeth,Elizabeth: I first heard about the losses in June 2022.,5
James,James: I first heard about the losses in May 2022.,4
Michael,Michael: I first heard about the losses in April 2022.,3
James,James: I first heard about the losses in May 2022.,4
Robert,Robert: I first heard about the losses in March 2022.,2
Elizabeth,Elizabeth: I first heard about the losses in June 2022.,5
Elizabeth,Elizabeth: I first heard about the losses in June 2022.,5
David,David: I first heard about the losses in May 2022.,4
James,James: I first heard about the losses in June 2022.,5
Mary,Mary: I first heard about the losses in May 2022.,4
Michael,Michael: I first heard about the losses in May 2022.,4
Jennifer,Jennifer: I first heard about the losses in May 2022.,4
John,John: I first heard about the losses in April 2022.,3
David,David: I first heard about the losses in June 2022.,5
Robert,Robert: I first heard about the losses in June 2022.,5
Michael,Michael: I first heard about the losses in May 2022.,4
Mary,Mary: I first heard about the losses in April 2022.,3
James,James: I first heard about the losses in May 2022.,4
James,James: I first heard about the losses in May 2022.,4
Mary,Mary: I first heard about the losses in March 2022.,2
Jennifer,Jennifer: I first heard about the losses in May 2022.,4
Michael,Michael: I first heard about the losses in March 2022.,2
Mary,Mary: I first heard about the losses in March 2022.,2
Linda,Linda: I first heard about the losses in June 2022.,5
Mary,Mary: I first heard about the losses in April 2022.,3
Michael,Michael: I first heard about the losses in April 2022.,3
Elizabeth,Elizabeth: I first heard about the losses in April 2022.,3
Patricia,Patricia: I first heard about the losses in June 2022.,5
James,James: I first heard about the losses in April 2022.,3
Elizabeth,Elizabeth: I first heard about the losses in April 2022.,3
Linda,Linda: I first heard about the losses in May 2022.,4
Elizabeth,Elizabeth: I first heard about the losses in June 2022.,5
Jennifer,Jennifer: I first heard about the losses in May 2022.,4
Linda,Linda: I first heard about the losses in May 2022.,4
Linda,Linda: I first heard about the losses in May 2022.,4
Patricia,Patricia: I first heard about the losses in April 2022.,3
John,John: I first heard about the losses in June 2022.,5
Robert,Robert: I first heard about the losses in May 2022.,4
David,David: I first heard about the losses in June 2022.,5
James,James: I first heard about the losses in May 2022.,4
David,David: I first heard about the losses in April 2022.,3
Mary,Mary: I first heard about the losses in March 2022.,2
David,David: I first heard about the losses in March 2022.,2
James,James: I first heard about the losses in April 2022.,3
