concept_id,concept_name
T-0,python
T-1,database
T-2,.net
T-3,linux
T-4,multithreading
T-5,c++
T-6,sql-server
T-7,c#
T-8,java
T-9,html
T-10,django
T-11,ruby-on-rails
T-12,asp.net
T-13,regex
T-14,javascript
T-15,xml
T-16,jquery
T-17,wpf
T-18,iphone
T-19,objective-c
T-20,php
T-21,android
T-22,eclipse
T-23,asp.net-mvc
T-24,mysql
T-25,xcode
T-26,osx
T-27,sql
T-28,css
T-29,windows
T-30,c
T-31,ruby
T-32,spring
T-33,ios
T-34,arrays
T-35,json
T-36,r
T-37,node.js
T-38,image
T-39,performance
T-40,scala
T-41,algorithm
T-42,ajax
T-43,facebook
T-44,angularjs
T-45,bash
T-46,string
T-47,swift
T-48,git
T-49,html5
