Subgroup,Ratio,Threshold,Kept Pairs,Dropped Pairs,Recall (%),Precision (%),F1 (%),Total Tokens,Cost ($)
emails,0.025,0.0,4,0,73.48,69.62,71.5,50228,0.1849
emails,0.025,0.01,3,1,73.48,72.35,72.91,38625,0.1457
emails,0.025,0.02,3,1,73.48,72.35,72.91,38625,0.1457
emails,0.025,0.03,3,1,73.48,72.35,72.91,38625,0.1457
emails,0.025,0.04,3,1,73.48,72.35,72.91,38625,0.1457
emails,0.025,0.05,2,2,73.48,76.81,75.11,26963,0.1059
emails,0.025,0.06,2,2,73.48,76.81,75.11,26963,0.1059
emails,0.025,0.07,2,2,73.48,76.81,75.11,26963,0.1059
emails,0.025,0.08,2,2,73.48,76.81,75.11,26963,0.1059
emails,0.025,0.09,1,3,31.54,65.23,42.52,14236,0.0555
emails,0.025,0.1,1,3,31.54,65.23,42.52,14236,0.0555
emails,0.025,0.11,1,3,31.54,65.23,42.52,14236,0.0555
emails,0.025,0.12,1,3,31.54,65.23,42.52,14236,0.0555
emails,0.025,0.13,1,3,31.54,65.23,42.52,14236,0.0555
emails,0.025,0.14,1,3,31.54,65.23,42.52,14236,0.0555
emails,0.025,0.15,1,3,31.54,65.23,42.52,14236,0.0555
emails,0.025,0.16,1,3,31.54,65.23,42.52,14236,0.0555
emails,0.025,0.17,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.18,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.19,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.2,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.21,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.22,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.23,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.24,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.25,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.26,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.27,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.28,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.29,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.3,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.31,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.32,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.33,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.34,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.35,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.36,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.37,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.38,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.39,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.4,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.41,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.42,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.43,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.44,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.45,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.46,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.47,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.48,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.49,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.5,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.51,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.52,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.53,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.54,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.55,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.56,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.57,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.58,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.59,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.6,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.61,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.62,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.63,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.64,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.65,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.66,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.67,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.68,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.69,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.7,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.71,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.72,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.73,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.74,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.75,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.76,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.77,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.78,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.79,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.8,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.81,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.82,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.83,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.84,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.85,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.86,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.87,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.88,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.89,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.9,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.91,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.92,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.93,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.94,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.95,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.96,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.97,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.98,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,0.99,0,4,0.0,0.0,0.0,1499,0.005
emails,0.025,1.0,0,4,0.0,0.0,0.0,1499,0.005
emails,0.05,0.0,25,0,54.59,39.52,45.85,58337,0.2209
emails,0.05,0.01,19,6,54.59,46.74,50.36,47542,0.1808
emails,0.05,0.02,19,6,54.59,46.74,50.36,47542,0.1808
emails,0.05,0.03,19,6,54.59,46.74,50.36,47542,0.1808
emails,0.05,0.04,19,6,54.59,46.74,50.36,47542,0.1808
emails,0.05,0.05,13,12,47.14,55.17,50.84,32342,0.1249
emails,0.05,0.06,13,12,47.14,55.17,50.84,32342,0.1249
emails,0.05,0.07,13,12,47.14,55.17,50.84,32342,0.1249
emails,0.05,0.08,13,12,47.14,55.17,50.84,32342,0.1249
emails,0.05,0.09,8,17,42.29,69.91,52.7,23939,0.0929
emails,0.05,0.1,8,17,42.29,69.91,52.7,23939,0.0929
emails,0.05,0.11,8,17,42.29,69.91,52.7,23939,0.0929
emails,0.05,0.12,8,17,42.29,69.91,52.7,23939,0.0929
emails,0.05,0.13,5,20,29.12,69.42,41.03,16381,0.0629
emails,0.05,0.14,5,20,29.12,69.42,41.03,16381,0.0629
emails,0.05,0.15,5,20,29.12,69.42,41.03,16381,0.0629
emails,0.05,0.16,5,20,29.12,69.42,41.03,16381,0.0629
