Run_ID,Block_Size,Filter_Threshold,Dropped_Clusters,Recall,Precision,F1,Tokens,Time_s
1,15,0.0,0,50.33,81.76,62.3,45255,62.56
2,15,0.2,1,45.98,82.62,59.08,39177,71.86
3,15,0.35,2,37.79,89.51,53.14,27832,55.23
4,15,0.5,3,20.25,86.06,32.78,15622,30.05
5,20,0.0,0,51.48,72.27,60.12,45744,88.91
6,20,0.2,1,49.51,72.51,58.84,39869,83.77
7,20,0.35,2,38.85,77.7,51.8,28301,52.12
8,20,0.5,3,20.49,81.17,32.72,15750,33.34
9,25,0.0,0,49.59,69.86,58.01,27401,52.67
10,25,0.2,1,48.52,74.47,58.76,26582,60.16
11,25,0.35,2,45.41,75.07,56.59,21128,45.17
12,25,0.5,3,21.48,82.39,34.07,10841,23.73
13,30,0.0,0,48.2,72.68,57.96,24284,42.39
14,30,0.2,1,48.85,71.81,58.15,23933,46.31
15,30,0.35,2,45.25,75.41,56.56,18349,38.76
16,30,0.5,3,21.48,82.39,34.07,10841,21.93
