Subgroup,Ratio,Threshold,Kept Pairs,Dropped Pairs,Recall (%),Precision (%),F1 (%),Total Tokens,Cost ($)
imdb_projection,0.025,0.0,4,0,47.62,81.37,60.08,58360,0.2041
imdb_projection,0.025,0.01,4,0,47.62,81.37,60.08,58360,0.2041
imdb_projection,0.025,0.02,4,0,47.62,81.37,60.08,58360,0.2041
imdb_projection,0.025,0.03,4,0,47.62,81.37,60.08,58360,0.2041
imdb_projection,0.025,0.04,4,0,47.62,81.37,60.08,58360,0.2041
imdb_projection,0.025,0.05,4,0,47.62,81.37,60.08,58360,0.2041
imdb_projection,0.025,0.06,4,0,47.62,81.37,60.08,58360,0.2041
imdb_projection,0.025,0.07,4,0,47.62,81.37,60.08,58360,0.2041
imdb_projection,0.025,0.08,4,0,47.62,81.37,60.08,58360,0.2041
imdb_projection,0.025,0.09,4,0,47.62,81.37,60.08,58360,0.2041
imdb_projection,0.025,0.1,4,0,47.62,81.37,60.08,58360,0.2041
imdb_projection,0.025,0.11,4,0,47.62,81.37,60.08,58360,0.2041
imdb_projection,0.025,0.12,4,0,47.62,81.37,60.08,58360,0.2041
imdb_projection,0.025,0.13,3,1,39.67,80.94,53.25,46676,0.1681
imdb_projection,0.025,0.14,3,1,39.67,80.94,53.25,46676,0.1681
imdb_projection,0.025,0.15,3,1,39.67,80.94,53.25,46676,0.1681
imdb_projection,0.025,0.16,3,1,39.67,80.94,53.25,46676,0.1681
imdb_projection,0.025,0.17,3,1,39.67,80.94,53.25,46676,0.1681
imdb_projection,0.025,0.18,3,1,39.67,80.94,53.25,46676,0.1681
imdb_projection,0.025,0.19,3,1,39.67,80.94,53.25,46676,0.1681
imdb_projection,0.025,0.2,3,1,39.67,80.94,53.25,46676,0.1681
imdb_projection,0.025,0.21,2,2,31.48,82.58,45.58,36373,0.1351
imdb_projection,0.025,0.22,2,2,31.48,82.58,45.58,36373,0.1351
imdb_projection,0.025,0.23,2,2,31.48,82.58,45.58,36373,0.1351
imdb_projection,0.025,0.24,2,2,31.48,82.58,45.58,36373,0.1351
imdb_projection,0.025,0.25,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.26,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.27,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.28,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.29,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.3,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.31,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.32,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.33,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.34,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.35,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.36,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.37,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.38,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.39,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.4,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.41,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.42,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.43,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.44,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.45,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.46,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.47,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.48,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.49,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.5,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.51,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.52,1,3,14.26,90.62,24.65,24593,0.0934
imdb_projection,0.025,0.53,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.54,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.55,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.56,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.57,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.58,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.59,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.6,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.61,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.62,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.63,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.64,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.65,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.66,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.67,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.68,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.69,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.7,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.71,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.72,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.73,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.74,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.75,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.76,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.77,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.78,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.79,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.8,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.81,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.82,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.83,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.84,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.85,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.86,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.87,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.88,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.89,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.9,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.91,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.92,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.93,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.94,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.95,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.96,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.97,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.98,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,0.99,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.025,1.0,0,4,0.0,0.0,0.0,13370,0.0559
imdb_projection,0.05,0.0,4,0,30.9,71.67,43.18,56697,0.1871
