Subgroup,Ratio,Threshold,Kept Pairs,Dropped Pairs,Recall (%),Precision (%),F1 (%),Total Tokens,Cost ($)
stackoverflow,0.025,0.0,4,0,53.33,88.89,66.67,25742,0.0781
stackoverflow,0.025,0.01,4,0,53.33,88.89,66.67,25742,0.0781
stackoverflow,0.025,0.02,4,0,53.33,88.89,66.67,25742,0.0781
stackoverflow,0.025,0.03,4,0,53.33,88.89,66.67,25742,0.0781
stackoverflow,0.025,0.04,4,0,53.33,88.89,66.67,25742,0.0781
stackoverflow,0.025,0.05,3,1,44.17,88.33,58.89,20112,0.0614
stackoverflow,0.025,0.06,2,2,36.67,91.67,52.38,14503,0.044
stackoverflow,0.025,0.07,2,2,36.67,91.67,52.38,14503,0.044
stackoverflow,0.025,0.08,2,2,36.67,91.67,52.38,14503,0.044
stackoverflow,0.025,0.09,2,2,36.67,91.67,52.38,14503,0.044
stackoverflow,0.025,0.1,2,2,36.67,91.67,52.38,14503,0.044
stackoverflow,0.025,0.11,1,3,21.67,100.0,35.62,9576,0.029
stackoverflow,0.025,0.12,1,3,21.67,100.0,35.62,9576,0.029
stackoverflow,0.025,0.13,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.14,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.15,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.16,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.17,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.18,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.19,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.2,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.21,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.22,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.23,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.24,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.25,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.26,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.27,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.28,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.29,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.3,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.31,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.32,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.33,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.34,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.35,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.36,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.37,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.38,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.39,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.4,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.41,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.42,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.43,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.44,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.45,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.46,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.47,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.48,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.49,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.5,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.51,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.52,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.53,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.54,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.55,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.56,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.57,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.58,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.59,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.6,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.61,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.62,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.63,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.64,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.65,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.66,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.67,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.68,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.69,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.7,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.71,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.72,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.73,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.74,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.75,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.76,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.77,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.78,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.79,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.8,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.81,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.82,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.83,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.84,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.85,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.86,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.87,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.88,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.89,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.9,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.91,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.92,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.93,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.94,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.95,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.96,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.97,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.98,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,0.99,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.025,1.0,0,4,0.0,0.0,0.0,2904,0.0088
stackoverflow,0.05,0.0,10,0,55.83,93.06,69.79,30946,0.0935
stackoverflow,0.05,0.01,6,4,46.67,93.33,62.22,21260,0.0645
stackoverflow,0.05,0.02,6,4,46.67,93.33,62.22,21260,0.0645
stackoverflow,0.05,0.03,6,4,46.67,93.33,62.22,21260,0.0645
stackoverflow,0.05,0.04,6,4,46.67,93.33,62.22,21260,0.0645
stackoverflow,0.05,0.05,6,4,46.67,93.33,62.22,21260,0.0645
stackoverflow,0.05,0.06,4,6,40.83,98.0,57.65,17374,0.0525
stackoverflow,0.05,0.07,4,6,40.83,98.0,57.65,17374,0.0525
stackoverflow,0.05,0.08,4,6,40.83,98.0,57.65,17374,0.0525
stackoverflow,0.05,0.09,3,7,34.17,97.62,50.62,15584,0.0469
stackoverflow,0.05,0.1,3,7,34.17,97.62,50.62,15584,0.0469
stackoverflow,0.05,0.11,3,7,34.17,97.62,50.62,15584,0.0469
stackoverflow,0.05,0.12,3,7,34.17,97.62,50.62,15584,0.0469
stackoverflow,0.05,0.13,1,9,15.0,94.74,25.9,11814,0.0352
stackoverflow,0.05,0.14,1,9,15.0,94.74,25.9,11814,0.0352
stackoverflow,0.05,0.15,1,9,15.0,94.74,25.9,11814,0.0352
stackoverflow,0.05,0.16,1,9,15.0,94.74,25.9,11814,0.0352
stackoverflow,0.05,0.17,1,9,15.0,94.74,25.9,11814,0.0352
stackoverflow,0.05,0.18,1,9,15.0,94.74,25.9,11814,0.0352
stackoverflow,0.05,0.19,1,9,15.0,94.74,25.9,11814,0.0352
stackoverflow,0.05,0.2,1,9,15.0,94.74,25.9,11814,0.0352
stackoverflow,0.05,0.21,1,9,15.0,94.74,25.9,11814,0.0352
stackoverflow,0.05,0.22,1,9,15.0,94.74,25.9,11814,0.0352
stackoverflow,0.05,0.23,1,9,15.0,94.74,25.9,11814,0.0352
stackoverflow,0.05,0.24,1,9,15.0,94.74,25.9,11814,0.0352
stackoverflow,0.05,0.25,1,9,15.0,94.74,25.9,11814,0.0352
stackoverflow,0.05,0.26,1,9,15.0,94.74,25.9,11814,0.0352
stackoverflow,0.05,0.27,1,9,15.0,94.74,25.9,11814,0.0352
stackoverflow,0.05,0.28,1,9,15.0,94.74,25.9,11814,0.0352
stackoverflow,0.05,0.29,1,9,15.0,94.74,25.9,11814,0.0352
stackoverflow,0.05,0.3,1,9,15.0,94.74,25.9,11814,0.0352
stackoverflow,0.05,0.31,0,10,0.0,0.0,0.0,7958,0.0234
stackoverflow,0.05,0.32,0,10,0.0,0.0,0.0,7958,0.0234
stackoverflow,0.05,0.33,0,10,0.0,0.0,0.0,7958,0.0234
stackoverflow,0.05,0.34,0,10,0.0,0.0,0.0,7958,0.0234
stackoverflow,0.05,0.35,0,10,0.0,0.0,0.0,7958,0.0234
stackoverflow,0.05,0.36,0,10,0.0,0.0,0.0,7958,0.0234
stackoverflow,0.05,0.37,0,10,0.0,0.0,0.0,7958,0.0234
stackoverflow,0.05,0.38,0,10,0.0,0.0,0.0,7958,0.0234
stackoverflow,0.05,0.39,0,10,0.0,0.0,0.0,7958,0.0234
stackoverflow,0.05,0.4,0,10,0.0,0.0,0.0,7958,0.0234
stackoverflow,0.05,0.41,0,10,0.0,0.0,0.0,7958,0.0234
stackoverflow,0.05,0.42,0,10,0.0,0.0,0.0,7958,0.0234
stackoverflow,0.05,0.43,0,10,0.0,0.0,0.0,7958,0.0234
stackoverflow,0.05,0.44,0,10,0.0,0.0,0.0,7958,0.0234
stackoverflow,0.05,0.45,0,10,0.0,0.0,0.0,7958,0.0234
