Subgroup,Ratio,Threshold,Kept Pairs,Dropped Pairs,Recall (%),Precision (%),F1 (%),Total Tokens,Cost ($)
stackoverflow_no_desc,0.025,0.0,10,0,65.13,55.46,59.91,153129,0.4641
stackoverflow_no_desc,0.025,0.01,7,3,50.99,57.2,53.91,108232,0.3288
stackoverflow_no_desc,0.025,0.02,7,3,50.99,57.2,53.91,108232,0.3288
stackoverflow_no_desc,0.025,0.03,7,3,50.99,57.2,53.91,108232,0.3288
stackoverflow_no_desc,0.025,0.04,7,3,50.99,57.2,53.91,108232,0.3288
stackoverflow_no_desc,0.025,0.05,1,9,10.53,66.67,18.18,25750,0.0781
stackoverflow_no_desc,0.025,0.06,1,9,10.53,66.67,18.18,25750,0.0781
stackoverflow_no_desc,0.025,0.07,1,9,10.53,66.67,18.18,25750,0.0781
stackoverflow_no_desc,0.025,0.08,1,9,10.53,66.67,18.18,25750,0.0781
stackoverflow_no_desc,0.025,0.09,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.1,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.11,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.12,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.13,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.14,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.15,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.16,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.17,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.18,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.19,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.2,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.21,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.22,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.23,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.24,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.25,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.26,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.27,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.28,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.29,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.3,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.31,0,10,0.0,0.0,0.0,6803,0.0202
stackoverflow_no_desc,0.025,0.32,0,10,0.0,0.0,0.0,6803,0.0202
