Subgroup,Ratio,Threshold,Kept Pairs,Dropped Pairs,Recall (%),Precision (%),F1 (%),Total Tokens,Cost ($)
stackoverflow_no_desc_projection,0.025,0.0,10,0,68.95,76.68,72.61,105669,0.3261
stackoverflow_no_desc_projection,0.025,0.01,5,5,66.13,80.79,72.73,78164,0.2438
stackoverflow_no_desc_projection,0.025,0.02,5,5,66.13,80.79,72.73,78164,0.2438
stackoverflow_no_desc_projection,0.025,0.03,5,5,66.13,80.79,72.73,78164,0.2438
stackoverflow_no_desc_projection,0.025,0.04,5,5,66.13,80.79,72.73,78164,0.2438
stackoverflow_no_desc_projection,0.025,0.05,4,6,48.79,81.21,60.96,69062,0.2151
stackoverflow_no_desc_projection,0.025,0.06,4,6,48.79,81.21,60.96,69062,0.2151
stackoverflow_no_desc_projection,0.025,0.07,4,6,48.79,81.21,60.96,69062,0.2151
stackoverflow_no_desc_projection,0.025,0.08,4,6,48.79,81.21,60.96,69062,0.2151
stackoverflow_no_desc_projection,0.025,0.09,2,8,25.4,91.3,39.75,50560,0.158
stackoverflow_no_desc_projection,0.025,0.1,2,8,25.4,91.3,39.75,50560,0.158
stackoverflow_no_desc_projection,0.025,0.11,2,8,25.4,91.3,39.75,50560,0.158
stackoverflow_no_desc_projection,0.025,0.12,2,8,25.4,91.3,39.75,50560,0.158
stackoverflow_no_desc_projection,0.025,0.13,1,9,10.89,96.43,19.57,35736,0.1127
stackoverflow_no_desc_projection,0.025,0.14,1,9,10.89,96.43,19.57,35736,0.1127
stackoverflow_no_desc_projection,0.025,0.15,1,9,10.89,96.43,19.57,35736,0.1127
stackoverflow_no_desc_projection,0.025,0.16,1,9,10.89,96.43,19.57,35736,0.1127
stackoverflow_no_desc_projection,0.025,0.17,1,9,10.89,96.43,19.57,35736,0.1127
stackoverflow_no_desc_projection,0.025,0.18,1,9,10.89,96.43,19.57,35736,0.1127
stackoverflow_no_desc_projection,0.025,0.19,1,9,10.89,96.43,19.57,35736,0.1127
stackoverflow_no_desc_projection,0.025,0.2,1,9,10.89,96.43,19.57,35736,0.1127
stackoverflow_no_desc_projection,0.025,0.21,1,9,10.89,96.43,19.57,35736,0.1127
