Subgroup,Ratio,Threshold,Kept Pairs,Dropped Pairs,Recall (%),Precision (%),F1 (%),Total Tokens,Cost ($)
imdb,0.025,0.0,4,0,43.28,83.02,56.9,49064,0.1571
imdb,0.025,0.01,4,0,43.28,83.02,56.9,49064,0.1571
imdb,0.025,0.02,4,0,43.28,83.02,56.9,49064,0.1571
imdb,0.025,0.03,4,0,43.28,83.02,56.9,49064,0.1571
imdb,0.025,0.04,4,0,43.28,83.02,56.9,49064,0.1571
imdb,0.025,0.05,3,1,41.39,84.45,55.56,38624,0.1272
imdb,0.025,0.06,3,1,41.39,84.45,55.56,38624,0.1272
imdb,0.025,0.07,3,1,41.39,84.45,55.56,38624,0.1272
imdb,0.025,0.08,3,1,41.39,84.45,55.56,38624,0.1272
imdb,0.025,0.09,2,2,23.52,79.06,36.26,26394,0.0855
imdb,0.025,0.1,2,2,23.52,79.06,36.26,26394,0.0855
imdb,0.025,0.11,2,2,23.52,79.06,36.26,26394,0.0855
imdb,0.025,0.12,2,2,23.52,79.06,36.26,26394,0.0855
imdb,0.025,0.13,2,2,23.52,79.06,36.26,26394,0.0855
imdb,0.025,0.14,2,2,23.52,79.06,36.26,26394,0.0855
imdb,0.025,0.15,2,2,23.52,79.06,36.26,26394,0.0855
imdb,0.025,0.16,2,2,23.52,79.06,36.26,26394,0.0855
imdb,0.025,0.17,2,2,23.52,79.06,36.26,26394,0.0855
imdb,0.025,0.18,2,2,23.52,79.06,36.26,26394,0.0855
imdb,0.025,0.19,2,2,23.52,79.06,36.26,26394,0.0855
imdb,0.025,0.2,2,2,23.52,79.06,36.26,26394,0.0855
imdb,0.025,0.21,2,2,23.52,79.06,36.26,26394,0.0855
imdb,0.025,0.22,2,2,23.52,79.06,36.26,26394,0.0855
imdb,0.025,0.23,2,2,23.52,79.06,36.26,26394,0.0855
imdb,0.025,0.24,2,2,23.52,79.06,36.26,26394,0.0855
imdb,0.025,0.25,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.26,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.27,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.28,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.29,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.3,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.31,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.32,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.33,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.34,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.35,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.36,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.37,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.38,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.39,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.4,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.41,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.42,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.43,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.44,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.45,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.46,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.47,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.48,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.49,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.5,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.51,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.52,1,3,16.72,90.27,28.22,15245,0.0504
imdb,0.025,0.53,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.54,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.55,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.56,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.57,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.58,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.59,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.6,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.61,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.62,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.63,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.64,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.65,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.66,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.67,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.68,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.69,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.7,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.71,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.72,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.73,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.74,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.75,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.76,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.77,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.78,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.79,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.8,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.81,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.82,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.83,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.84,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.85,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.86,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.87,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.88,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.89,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.9,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.91,0,4,0.0,0.0,0.0,4494,0.0131
imdb,0.025,0.92,0,4,0.0,0.0,0.0,4494,0.0131
