Subgroup,Ratio,Threshold,Kept Pairs,Dropped Pairs,Recall (%),Precision (%),F1 (%),Total Tokens,Cost ($)
stackoverflow_no_desc_projection,0.025,0.0,4,0,58.33,90.91,71.07,37388,0.1164
stackoverflow_no_desc_projection,0.025,0.01,3,1,58.33,90.91,71.07,35236,0.1099
stackoverflow_no_desc_projection,0.025,0.02,3,1,58.33,90.91,71.07,35236,0.1099
stackoverflow_no_desc_projection,0.025,0.03,3,1,58.33,90.91,71.07,35236,0.1099
stackoverflow_no_desc_projection,0.025,0.04,3,1,58.33,90.91,71.07,35236,0.1099
stackoverflow_no_desc_projection,0.025,0.05,3,1,58.33,90.91,71.07,35236,0.1099
stackoverflow_no_desc_projection,0.025,0.06,3,1,58.33,90.91,71.07,35236,0.1099
stackoverflow_no_desc_projection,0.025,0.07,2,2,55.83,97.1,70.9,26277,0.0829
stackoverflow_no_desc_projection,0.025,0.08,2,2,55.83,97.1,70.9,26277,0.0829
stackoverflow_no_desc_projection,0.025,0.09,2,2,55.83,97.1,70.9,26277,0.0829
stackoverflow_no_desc_projection,0.025,0.1,2,2,55.83,97.1,70.9,26277,0.0829
stackoverflow_no_desc_projection,0.025,0.11,2,2,55.83,97.1,70.9,26277,0.0829
stackoverflow_no_desc_projection,0.025,0.12,2,2,55.83,97.1,70.9,26277,0.0829
stackoverflow_no_desc_projection,0.025,0.13,1,3,14.17,94.44,24.64,16887,0.0534
stackoverflow_no_desc_projection,0.025,0.14,1,3,14.17,94.44,24.64,16887,0.0534
stackoverflow_no_desc_projection,0.025,0.15,1,3,14.17,94.44,24.64,16887,0.0534
stackoverflow_no_desc_projection,0.025,0.16,1,3,14.17,94.44,24.64,16887,0.0534
stackoverflow_no_desc_projection,0.025,0.17,1,3,14.17,94.44,24.64,16887,0.0534
stackoverflow_no_desc_projection,0.025,0.18,1,3,14.17,94.44,24.64,16887,0.0534
stackoverflow_no_desc_projection,0.025,0.19,1,3,14.17,94.44,24.64,16887,0.0534
stackoverflow_no_desc_projection,0.025,0.2,1,3,14.17,94.44,24.64,16887,0.0534
stackoverflow_no_desc_projection,0.025,0.21,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.22,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.23,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.24,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.25,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.26,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.27,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.28,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.29,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.3,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.31,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.32,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.33,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.34,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.35,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.36,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.37,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.38,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.39,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.4,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.41,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.42,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.43,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.44,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.45,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.46,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.47,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.48,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.49,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.5,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.51,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.52,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.53,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.54,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.55,0,4,0.0,0.0,0.0,14727,0.0465
stackoverflow_no_desc_projection,0.025,0.56,0,4,0.0,0.0,0.0,14727,0.0465
