Subgroup,Ratio,Threshold,Kept Pairs,Dropped Pairs,Recall (%),Precision (%),F1 (%),Total Tokens,Cost ($)
stackoverflow_projection,0.025,0.0,12,0,58.91,79.41,67.64,100265,0.3071
stackoverflow_projection,0.025,0.01,8,4,58.18,79.6,67.23,78822,0.2441
stackoverflow_projection,0.025,0.02,8,4,58.18,79.6,67.23,78822,0.2441
stackoverflow_projection,0.025,0.03,8,4,58.18,79.6,67.23,78822,0.2441
stackoverflow_projection,0.025,0.04,8,4,58.18,79.6,67.23,78822,0.2441
stackoverflow_projection,0.025,0.05,7,5,52.36,77.84,62.61,75218,0.2331
stackoverflow_projection,0.025,0.06,7,5,52.36,77.84,62.61,75218,0.2331
stackoverflow_projection,0.025,0.07,7,5,52.36,77.84,62.61,75218,0.2331
stackoverflow_projection,0.025,0.08,7,5,52.36,77.84,62.61,75218,0.2331
stackoverflow_projection,0.025,0.09,3,9,10.91,75.0,19.05,50798,0.1569
stackoverflow_projection,0.025,0.1,3,9,10.91,75.0,19.05,50798,0.1569
stackoverflow_projection,0.025,0.11,3,9,10.91,75.0,19.05,50798,0.1569
stackoverflow_projection,0.025,0.12,3,9,10.91,75.0,19.05,50798,0.1569
stackoverflow_projection,0.025,0.13,3,9,10.91,75.0,19.05,50798,0.1569
stackoverflow_projection,0.025,0.14,3,9,10.91,75.0,19.05,50798,0.1569
stackoverflow_projection,0.025,0.15,3,9,10.91,75.0,19.05,50798,0.1569
stackoverflow_projection,0.025,0.16,3,9,10.91,75.0,19.05,50798,0.1569
stackoverflow_projection,0.025,0.17,2,10,1.45,80.0,2.86,46714,0.144
stackoverflow_projection,0.025,0.18,2,10,1.45,80.0,2.86,46714,0.144
stackoverflow_projection,0.025,0.19,2,10,1.45,80.0,2.86,46714,0.144
stackoverflow_projection,0.025,0.2,2,10,1.45,80.0,2.86,46714,0.144
stackoverflow_projection,0.025,0.21,1,11,1.09,100.0,2.16,41552,0.1289
stackoverflow_projection,0.025,0.22,1,11,1.09,100.0,2.16,41552,0.1289
stackoverflow_projection,0.025,0.23,1,11,1.09,100.0,2.16,41552,0.1289
stackoverflow_projection,0.025,0.24,1,11,1.09,100.0,2.16,41552,0.1289
stackoverflow_projection,0.025,0.25,1,11,1.09,100.0,2.16,41552,0.1289
stackoverflow_projection,0.025,0.26,1,11,1.09,100.0,2.16,41552,0.1289
stackoverflow_projection,0.025,0.27,1,11,1.09,100.0,2.16,41552,0.1289
stackoverflow_projection,0.025,0.28,1,11,1.09,100.0,2.16,41552,0.1289
stackoverflow_projection,0.025,0.29,1,11,1.09,100.0,2.16,41552,0.1289
stackoverflow_projection,0.025,0.3,1,11,1.09,100.0,2.16,41552,0.1289
stackoverflow_projection,0.025,0.31,1,11,1.09,100.0,2.16,41552,0.1289
stackoverflow_projection,0.025,0.32,1,11,1.09,100.0,2.16,41552,0.1289
stackoverflow_projection,0.025,0.33,1,11,1.09,100.0,2.16,41552,0.1289
